"","Model","Algorithm","Volume","Dimensionality"
"1","null","Cooling Bodies",6.01865086543054e-13,"Full-dimensional"
"3","null","Cooling Gaussian",1.77806096761168e-13,"Full-dimensional"
"2","null","Sequence of Balls",1.08752405270775e-12,"Full-dimensional"
