"","Model","Algorithm","Volume","Dimensionality"
"1","correlations_strong","Cooling Bodies",0.00867382650525365,"Full-dimensional"
"3","correlations_strong","Cooling Gaussian",0.00593833856905992,"Full-dimensional"
"2","correlations_strong","Sequence of Balls",0.00855741981066757,"Full-dimensional"
