model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
similarity,bf_00',0.025639077,0.031586118,0.004346314,0.101855369,500000,2.00E-06,2.50E-06,5,1821
similarity,bf_00',0.025639077,0.033270681,0.004066403,0.102514263,500000,2.00E-06,2.46E-06,5,1861
similarity,bf_00',0.025639077,0.034196452,0.004310581,0.105239463,500000,2.00E-06,2.47E-06,5,2653
similarity,bf_00',0.025639077,0.032545109,0.004596187,0.103081532,500000,2.00E-06,2.42E-06,5,3712
similarity,bf_0u,0.025641026,0.032473648,0.004298033,0.100325823,500000,2.00E-06,2.45E-06,2,1671
similarity,bf_0u,0.025641026,0.031588141,0.004346663,0.10186091,500000,2.00E-06,2.50E-06,5,1821
similarity,bf_0u,0.025641026,0.033272752,0.004066735,0.102519975,500000,2.00E-06,2.46E-06,5,1861
similarity,bf_0u,0.025641026,0.034198556,0.004310942,0.105246052,500000,2.00E-06,2.47E-06,5,2653
similarity,bf_0u,0.025641026,0.032547205,0.004596518,0.103089141,500000,2.00E-06,2.42E-06,5,3712
non-monotonic_attraction,bf_00',0.025696602,0.001164712,0.023779904,0.027644184,500000,0.00102,4.50E-05,9,2036
non-monotonic_attraction,bf_0u,0.025726314,0.001170538,0.02385059,0.027755697,500000,9.90E-04,4.48E-05,5,722
similarity,bf_u0,0.025728988,0.004864513,0.018735052,0.034837174,500000,0.002332,6.73E-05,2,2423
similarity,bf_u0,0.025768087,0.003621137,0.020302808,0.032233989,500000,0.004036,8.87E-05,2,2501
non-monotonic_attraction,bf_0u,0.025772362,0.001192104,0.023847903,0.027828808,500000,9.56E-04,4.35E-05,5,3531
non-monotonic_attraction,bf_00',0.025778075,0.001139671,0.023982059,0.027709641,500000,0.001002,4.44E-05,5,201
non-monotonic_attraction,bf_00',0.025794839,0.001171892,0.023915166,0.027743652,500000,0.00102,4.56E-05,5,653
similarity,bf_u0,0.02587519,0.004489447,0.019145079,0.033925308,500000,0.002628,7.16E-05,9,2723
repulsion,bf_00',0.025888483,7.47E-04,0.024699075,0.027148618,500000,0.00247,7.12E-05,9,3313
repulsion,bf_0u,0.026157498,7.81E-04,0.024928062,0.027479656,500000,0.00227,6.66E-05,5,141
similarity,bf_u0,0.026206897,0.004314325,0.019915702,0.034062175,500000,0.0029,7.55E-05,2,2196
similarity,bf_u0,0.026224983,0.004272767,0.019948501,0.034052029,500000,0.002898,7.53E-05,2,2163
non-monotonic_attraction,bf_0u,0.026237042,0.001211026,0.024303253,0.02828723,500000,9.82E-04,4.49E-05,5,2831
repulsion,bf_0u,0.026262673,7.82E-04,0.025004482,0.027583031,500000,0.00229,6.69E-05,9,3811
non-monotonic_attraction,bf_00',0.026275052,0.001189748,0.024377452,0.028327534,500000,0.001032,4.56E-05,2,1286
similarity,bf_00',0.026313842,0.033670373,0.00477569,0.105216508,500000,2.00E-06,2.49E-06,5,983
similarity,bf_00',0.026313842,0.034159562,0.004675177,0.10652006,500000,2.00E-06,2.44E-06,5,3236
similarity,bf_0u,0.026315789,0.033672336,0.00477603,0.105224429,500000,2.00E-06,2.49E-06,5,983
similarity,bf_0u,0.026315789,0.034161581,0.00467547,0.106526491,500000,2.00E-06,2.44E-06,5,3236
attraction,bf_00',0.026325206,7.63E-04,0.025051198,0.027572376,500000,0.00253,7.09E-05,2,3766
non-monotonic_attraction,bf_00',0.026366589,0.001179971,0.024489308,0.028342275,500000,0.001034,4.58E-05,2,2872
similarity,bf_u0,0.026411658,0.00507578,0.019220392,0.0358406,500000,0.002196,6.65E-05,2,451
repulsion,bf_00',0.026418965,7.57E-04,0.025194523,0.027669613,500000,0.002522,7.01E-05,5,3051
non-monotonic_attraction,bf_00',0.026449879,0.001197057,0.024585002,0.028479272,500000,0.00104,4.56E-05,2,3286
non-monotonic_attraction,bf_00',0.02645059,0.001159785,0.024579888,0.028397297,500000,0.001028,4.54E-05,2,3743
repulsion,bf_0u,0.026533155,8.20E-04,0.025172851,0.027927966,500000,0.0023,6.75E-05,5,2941
non-monotonic_repulsion,bf_00',0.02653972,0.001204829,0.024675711,0.028628371,500000,0.001052,4.60E-05,9,163
similarity,bf_u0,0.026542324,0.004525545,0.019812241,0.034671521,500000,0.002788,7.56E-05,2,3743
repulsion,bf_0u,0.026564683,7.90E-04,0.025326923,0.027962755,500000,0.00232,6.83E-05,2,1512
similarity,bf_u0,0.026578073,0.004283934,0.020155502,0.034257152,500000,0.00301,7.64E-05,2,3712
non-monotonic_attraction,bf_0u,0.026690391,0.001207269,0.024703052,0.028707591,500000,0.00102,4.50E-05,9,2036
non-monotonic_repulsion,bf_00',0.026693671,0.001181684,0.024752597,0.028641942,500000,0.001036,4.54E-05,9,2653
non-monotonic_attraction,bf_00',0.026739965,0.00120249,0.024828819,0.028788402,500000,0.001042,4.50E-05,14,1762
non-monotonic_attraction,bf_0u,0.026754245,0.001180499,0.024900998,0.028751378,500000,0.001002,4.44E-05,5,201
non-monotonic_attraction,bf_0u,0.026788528,0.001214556,0.02484502,0.028802417,500000,0.00102,4.56E-05,5,653
attraction,bf_00',0.026937088,7.59E-04,0.025702232,0.028170921,500000,0.002564,7.24E-05,2,1722
repulsion,bf_0u,0.027002225,7.82E-04,0.025769502,0.028339106,500000,0.002354,6.84E-05,5,642
similarity,bf_00',0.027025081,0.035431529,0.005002351,0.112163697,500000,2.00E-06,2.41E-06,2,66
similarity,bf_00',0.027025081,0.033162837,0.004704955,0.103365766,500000,2.00E-06,2.50E-06,5,323
similarity,bf_00',0.027025081,0.034167512,0.004736295,0.107297115,500000,2.00E-06,2.41E-06,9,2653
similarity,bf_00',0.027025081,0.03391047,0.004839767,0.105918077,500000,2.00E-06,2.50E-06,9,2961
similarity,bf_00',0.027025081,0.034919507,0.004858756,0.108467199,500000,2.00E-06,2.48E-06,14,1512
similarity,bf_0u,0.027027027,0.035433583,0.005002821,0.11217179,500000,2.00E-06,2.41E-06,2,66
similarity,bf_0u,0.027027027,0.033164796,0.004705258,0.103372426,500000,2.00E-06,2.50E-06,5,323
similarity,bf_0u,0.027027027,0.034169498,0.004736713,0.107303716,500000,2.00E-06,2.41E-06,9,2653
similarity,bf_0u,0.027027027,0.033912429,0.004840062,0.105922772,500000,2.00E-06,2.50E-06,9,2961
similarity,bf_0u,0.027027027,0.034921521,0.004859216,0.108474141,500000,2.00E-06,2.48E-06,14,1512
non-monotonic_attraction,bf_0u,0.027279937,0.001232589,0.025313407,0.029409811,500000,0.001032,4.56E-05,2,1286
repulsion,bf_0u,0.027343393,7.94E-04,0.026040139,0.028656819,500000,0.002392,7.08E-05,2,2642
non-monotonic_attraction,bf_0u,0.027373326,0.001222333,0.025434076,0.029420052,500000,0.001034,4.58E-05,2,2872
non-monotonic_attraction,bf_0u,0.027451399,0.001201077,0.025512142,0.029469305,500000,0.001028,4.54E-05,2,3743
repulsion,bf_0u,0.027460583,8.04E-04,0.026115642,0.028794349,500000,0.0024,6.98E-05,9,71
non-monotonic_attraction,bf_0u,0.027462371,0.001240283,0.025527634,0.029571017,500000,0.00104,4.56E-05,2,3286
attraction,bf_00',0.027482983,7.81E-04,0.026196755,0.028776151,500000,0.002586,7.25E-05,2,3766
similarity,bf_u0,0.027504912,0.00433739,0.021221282,0.035516777,500000,0.003054,7.81E-05,5,502
attraction,bf_0u,0.027525683,7.97E-04,0.02621118,0.028804703,500000,0.00239,6.82E-05,2,1722
non-monotonic_repulsion,bf_0u,0.0275638,0.001248546,0.025627495,0.029724981,500000,0.001052,4.60E-05,9,163
similarity,bf_00',0.027629537,0.008054411,0.017091715,0.042994974,10000000,2.10E-06,4.56E-07,5,3561
similarity,bf_0u,0.027631579,0.008054766,0.017093212,0.042997619,10000000,2.10E-06,4.56E-07,5,3561
non-monotonic_repulsion,bf_0u,0.027702016,0.001224066,0.025688932,0.029722349,500000,0.001036,4.54E-05,9,2653
repulsion,bf_0u,0.027722954,8.05E-04,0.026418531,0.029072233,500000,0.002416,6.93E-05,2,1351
similarity,bf_u0,0.027734977,0.004752129,0.020634489,0.036382497,500000,0.002596,7.25E-05,2,252
non-monotonic_attraction,bf_0u,0.027754102,0.001245528,0.025782831,0.029871935,500000,0.001042,4.50E-05,14,1762
similarity,bf_00',0.027775833,0.036027889,0.005003768,0.110921088,500000,2.00E-06,2.39E-06,5,2423
similarity,bf_00',0.027775833,0.036493517,0.00452391,0.112220224,500000,2.00E-06,2.41E-06,9,746
similarity,bf_0u,0.027777778,0.036029926,0.00500409,0.110927293,500000,2.00E-06,2.39E-06,5,2423
similarity,bf_0u,0.027777778,0.036495535,0.004524211,0.11222666,500000,2.00E-06,2.41E-06,9,746
repulsion,bf_0u,0.027796283,8.07E-04,0.026468622,0.029131595,500000,0.00242,6.96E-05,2,1843
similarity,bf_u0,0.027809965,0.005824196,0.019662726,0.03868653,500000,0.001726,5.88E-05,5,1066
similarity,bf_00',0.027904644,0.007449733,0.01836661,0.042360611,10000000,2.40E-06,5.02E-07,9,1872
similarity,bf_0u,0.027906977,0.007450076,0.018368482,0.042363499,10000000,2.40E-06,5.02E-07,9,1872
repulsion,bf_00',0.027915309,7.89E-04,0.026667568,0.029252488,500000,0.002674,7.20E-05,2,2566
repulsion,bf_00',0.027939182,7.81E-04,0.026664996,0.029226669,500000,0.002664,7.35E-05,2,1482
repulsion,bf_00',0.02794838,7.85E-04,0.026659408,0.029238794,500000,0.002654,7.33E-05,9,931
similarity,bf_u0,0.027950311,0.004749601,0.02100689,0.036632048,500000,0.002576,7.23E-05,2,3273
similarity,bf_u0,0.027966742,0.004689614,0.021099191,0.036600445,500000,0.002646,7.31E-05,2,412
similarity,bf_u0,0.028005464,0.004400643,0.021537722,0.036054685,500000,0.002928,7.51E-05,9,3082
repulsion,bf_00',0.028104046,7.71E-04,0.026877158,0.029431796,500000,0.002678,7.24E-05,9,3983
non-monotonic_attraction,bf_00',0.028174021,0.001220235,0.026233982,0.030259241,500000,0.001096,4.66E-05,9,886
repulsion,bf_00',0.028203725,7.75E-04,0.027002846,0.02952085,500000,0.00268,7.22E-05,9,556
non-monotonic_attraction,bf_00',0.028239658,0.001202979,0.026299589,0.030256141,500000,0.001112,4.68E-05,2,2736
non-monotonic_attraction,bf_00',0.028287656,0.001204922,0.026347426,0.030255058,500000,0.001102,4.70E-05,5,1373
repulsion,bf_0u,0.028294538,8.12E-04,0.026994555,0.029660712,500000,0.00247,7.12E-05,9,3313
repulsion,bf_00',0.028331353,7.82E-04,0.027028349,0.029636886,500000,0.002734,7.30E-05,5,3091
non-monotonic_attraction,bf_00',0.028452444,0.001223456,0.026557325,0.030571947,500000,0.001104,4.62E-05,2,3653
similarity,bf_u0,0.028497409,0.005018849,0.02130035,0.037717748,500000,0.002316,6.96E-05,2,2642
similarity,bf_u0,0.028515241,0.005461504,0.020851873,0.038717389,500000,0.002034,6.33E-05,2,3142
similarity,bf_00',0.028569486,0.036483246,0.004976401,0.113209762,500000,2.00E-06,2.47E-06,5,2933
similarity,bf_00',0.028569486,0.036644048,0.00491206,0.115949872,500000,2.00E-06,2.44E-06,5,3471
similarity,bf_00',0.028569486,0.03660485,0.004776472,0.116475694,500000,2.00E-06,2.46E-06,9,1983
similarity,bf_00',0.028569486,0.036455385,0.00530554,0.113910849,500000,2.00E-06,2.43E-06,9,2631
similarity,bf_00',0.028569486,0.037351036,0.004530763,0.117685976,500000,2.00E-06,2.46E-06,14,783
similarity,bf_00',0.028569486,0.037485876,0.005014331,0.115104179,500000,2.00E-06,2.43E-06,14,1052
similarity,bf_00',0.028569486,0.035593341,0.004979571,0.111874465,500000,2.00E-06,2.46E-06,14,3273
similarity,bf_00',0.028569486,0.0085745,0.017482505,0.045335357,10000000,2.00E-06,4.61E-07,14,3286
similarity,bf_u0,0.028571429,0.004814416,0.021488506,0.037283116,500000,0.00252,7.07E-05,2,1066
similarity,bf_0u,0.028571429,0.036485242,0.00497676,0.113215598,500000,2.00E-06,2.47E-06,5,2933
similarity,bf_0u,0.028571429,0.036646044,0.004912464,0.115955853,500000,2.00E-06,2.44E-06,5,3471
similarity,bf_0u,0.028571429,0.036606851,0.004776765,0.11648353,500000,2.00E-06,2.46E-06,9,1983
similarity,bf_0u,0.028571429,0.036457384,0.005305959,0.113917633,500000,2.00E-06,2.43E-06,9,2631
similarity,bf_0u,0.028571429,0.037353044,0.004531086,0.117693871,500000,2.00E-06,2.46E-06,14,783
similarity,bf_0u,0.028571429,0.037487889,0.005014706,0.115109863,500000,2.00E-06,2.43E-06,14,1052
similarity,bf_0u,0.028571429,0.035595308,0.004979891,0.111879934,500000,2.00E-06,2.46E-06,14,3273
similarity,bf_0u,0.028571429,0.008574839,0.017483889,0.045338508,10000000,2.00E-06,4.61E-07,14,3286
repulsion,bf_00',0.028626859,7.87E-04,0.027380584,0.029964636,500000,0.002716,7.47E-05,14,1222
repulsion,bf_00',0.028784395,7.77E-04,0.027528035,0.030049012,500000,0.002752,7.47E-05,9,2466
attraction,bf_0u,0.028788603,8.30E-04,0.027393139,0.030145253,500000,0.00253,7.09E-05,2,3766
repulsion,bf_0u,0.028874336,8.23E-04,0.027545708,0.030232742,500000,0.002522,7.01E-05,5,3051
similarity,bf_u0,0.028942116,0.005489836,0.021115084,0.039266772,500000,0.002004,6.40E-05,5,2712
similarity,bf_u0,0.029017857,0.004770011,0.021836099,0.037254956,500000,0.002688,7.50E-05,2,1112
repulsion,bf_00',0.029018984,7.97E-04,0.027721926,0.03032857,500000,0.00277,7.44E-05,9,323
non-monotonic_attraction,bf_00',0.029048961,0.001249102,0.027125807,0.031168153,500000,0.001132,4.72E-05,14,502
non-monotonic_attraction,bf_0u,0.029239142,0.001263408,0.02723496,0.031397084,500000,0.001096,4.66E-05,9,886
similarity,bf_00',0.029308695,0.00941872,0.017746853,0.047832662,10000000,1.70E-06,4.25E-07,9,1273
similarity,bf_0u,0.029310345,0.009419013,0.017748149,0.047834581,10000000,1.70E-06,4.25E-07,9,1273
non-monotonic_attraction,bf_0u,0.029320255,0.001246055,0.027313578,0.031408139,500000,0.001112,4.68E-05,2,2736
non-monotonic_attraction,bf_00',0.029356642,0.001266198,0.027364335,0.03155705,500000,0.001146,4.85E-05,5,1066
non-monotonic_attraction,bf_0u,0.029358483,0.001247648,0.027354728,0.03138991,500000,0.001102,4.70E-05,5,1373
similarity,bf_u0,0.029362416,0.005152725,0.021968559,0.039144524,500000,0.002384,6.98E-05,2,2941
similarity,bf_00',0.029409824,0.037057508,0.00477275,0.114713939,500000,2.00E-06,2.44E-06,2,3011
similarity,bf_00',0.029409824,0.038360371,0.005181189,0.118764589,500000,2.00E-06,2.43E-06,5,1411
similarity,bf_00',0.029409824,0.038063963,0.005511166,0.118594135,500000,2.00E-06,2.46E-06,5,2902
similarity,bf_00',0.029409824,0.038429533,0.005199594,0.119414803,500000,2.00E-06,2.46E-06,5,3932
similarity,bf_00',0.029409824,0.038087689,0.004758017,0.117624413,500000,2.00E-06,2.39E-06,9,1482
similarity,bf_0u,0.029411765,0.037059475,0.004772973,0.114719055,500000,2.00E-06,2.44E-06,2,3011
similarity,bf_0u,0.029411765,0.038362393,0.005181529,0.118771793,500000,2.00E-06,2.43E-06,5,1411
similarity,bf_0u,0.029411765,0.038065969,0.005511589,0.118600529,500000,2.00E-06,2.46E-06,5,2902
similarity,bf_0u,0.029411765,0.038431511,0.005199984,0.119424851,500000,2.00E-06,2.46E-06,5,3932
similarity,bf_0u,0.029411765,0.038089743,0.004758472,0.117631021,500000,2.00E-06,2.39E-06,9,1482
attraction,bf_0u,0.029432022,8.25E-04,0.028090701,0.030776283,500000,0.002564,7.24E-05,2,1722
repulsion,bf_00',0.029439373,7.90E-04,0.028186534,0.030800397,500000,0.00282,7.46E-05,9,2132
similarity,bf_00',0.029484947,0.008158558,0.018853106,0.045171383,10000000,2.30E-06,4.88E-07,14,1452
similarity,bf_0u,0.029487179,0.008158901,0.018854393,0.045174582,10000000,2.30E-06,4.88E-07,14,1452
non-monotonic_attraction,bf_0u,0.029525032,0.001266613,0.027565065,0.031718361,500000,0.001104,4.62E-05,2,3653
similarity,bf_u0,0.029712163,0.005443038,0.021589904,0.039964649,500000,0.002154,6.64E-05,2,3661
repulsion,bf_00',0.029749809,8.08E-04,0.028448446,0.03111257,500000,0.002838,7.48E-05,5,292
non-monotonic_repulsion,bf_00',0.029751512,0.001275463,0.02774013,0.031937001,500000,0.001158,4.74E-05,5,3732
repulsion,bf_00',0.029759101,7.89E-04,0.028460096,0.031090936,500000,0.002844,7.42E-05,2,1983
similarity,bf_u0,0.02988792,0.004485741,0.023133217,0.037867334,500000,0.003212,8.03E-05,2,3202
similarity,bf_u0,0.029906542,0.005408768,0.02239432,0.039618507,500000,0.00214,6.48E-05,2,3113
similarity,bf_u0,0.029966704,0.005930895,0.021473768,0.040780087,500000,0.001802,6.02E-05,2,2441
repulsion,bf_00',0.029984598,7.89E-04,0.02873385,0.031323017,500000,0.00287,7.64E-05,14,532
attraction,bf_0u,0.029997912,8.49E-04,0.028593901,0.031409431,500000,0.002586,7.25E-05,2,3766
non-monotonic_attraction,bf_0u,0.030148077,0.001293598,0.028150971,0.032341083,500000,0.001132,4.72E-05,14,502
similarity,bf_u0,0.030150754,0.005618393,0.021868143,0.040253375,500000,0.00199,6.28E-05,5,3453
non-monotonic_repulsion,bf_00',0.030184012,0.001257322,0.028110306,0.032283707,500000,0.001186,4.74E-05,14,2481
similarity,bf_00',0.030301091,0.038611288,0.004852306,0.122459747,500000,2.00E-06,2.46E-06,5,572
similarity,bf_00',0.030301091,0.039383012,0.006163371,0.120926551,500000,2.00E-06,2.41E-06,5,2393
similarity,bf_0u,0.03030303,0.038613249,0.004852704,0.122466557,500000,2.00E-06,2.46E-06,5,572
similarity,bf_0u,0.03030303,0.039384964,0.006163743,0.120932256,500000,2.00E-06,2.41E-06,5,2393
similarity,bf_u0,0.030331754,0.005592753,0.022504495,0.040608653,500000,0.00211,6.47E-05,5,1093
non-monotonic_attraction,bf_00',0.030412089,0.001240713,0.028363371,0.032489201,500000,0.001208,4.91E-05,5,1541
non-monotonic_attraction,bf_0u,0.030468999,0.001311138,0.028405021,0.032737506,500000,0.001146,4.85E-05,5,1066
non-monotonic_attraction,bf_00',0.030502471,0.001246656,0.028509973,0.032630123,500000,0.001196,4.85E-05,2,1471
repulsion,bf_0u,0.030514664,8.58E-04,0.02916449,0.031965079,500000,0.002674,7.20E-05,2,2566
repulsion,bf_0u,0.030528205,8.53E-04,0.02911825,0.031936409,500000,0.002654,7.33E-05,9,931
repulsion,bf_0u,0.030528752,8.49E-04,0.029143293,0.031928407,500000,0.002664,7.35E-05,2,1482
similarity,bf_00',0.030553423,0.008756577,0.01939333,0.047197477,10000000,2.20E-06,4.80E-07,5,1631
similarity,bf_0u,0.030555556,0.008756911,0.019395188,0.04720005,10000000,2.20E-06,4.80E-07,5,1631
repulsion,bf_00',0.030556488,8.15E-04,0.029241998,0.031886786,500000,0.002914,7.60E-05,9,1733
similarity,bf_u0,0.030629139,0.005080017,0.023367759,0.039932925,500000,0.002416,6.96E-05,5,1643
repulsion,bf_0u,0.030706783,8.38E-04,0.029377036,0.03215053,500000,0.002678,7.24E-05,9,3983
repulsion,bf_0u,0.030808139,8.42E-04,0.029514597,0.032245287,500000,0.00268,7.22E-05,9,556
non-monotonic_attraction,bf_00',0.030822823,0.001274061,0.028845477,0.032978742,500000,0.001212,4.96E-05,9,2566
similarity,bf_u0,0.030859049,0.005312348,0.023079206,0.04029095,500000,0.002398,6.94E-05,2,1493
non-monotonic_repulsion,bf_0u,0.03087506,0.001320495,0.028787719,0.033136668,500000,0.001158,4.74E-05,5,3732
repulsion,bf_0u,0.030987895,8.50E-04,0.029572128,0.032405928,500000,0.002734,7.30E-05,5,3091
similarity,bf_u0,0.031037093,0.004958207,0.023924233,0.039974078,500000,0.002642,7.35E-05,2,891
repulsion,bf_00',0.031125583,8.17E-04,0.029789722,0.03245001,500000,0.00298,7.86E-05,2,472
similarity,bf_00',0.031248062,0.042089361,0.005341131,0.127658077,500000,2.00E-06,2.46E-06,2,952
similarity,bf_00',0.031248062,0.040602186,0.005256208,0.125773769,500000,2.00E-06,2.47E-06,9,1082
similarity,bf_0u,0.03125,0.042091341,0.005341501,0.127664232,500000,2.00E-06,2.46E-06,2,952
similarity,bf_0u,0.03125,0.040604144,0.005256648,0.125780346,500000,2.00E-06,2.47E-06,9,1082
repulsion,bf_0u,0.031265109,8.55E-04,0.029901673,0.032718192,500000,0.002716,7.47E-05,14,1222
non-monotonic_repulsion,bf_0u,0.031334214,0.001302172,0.029186135,0.033504653,500000,0.001186,4.74E-05,14,2481
repulsion,bf_00',0.031340157,8.28E-04,0.029973428,0.032717341,500000,0.003004,7.83E-05,2,3412
non-monotonic_attraction,bf_00',0.03135235,0.001269469,0.029308618,0.033538817,500000,0.001238,4.98E-05,9,3843
non-monotonic_attraction,bf_00',0.031357187,0.001294525,0.029258258,0.033554556,500000,0.001224,4.99E-05,9,556
non-monotonic_attraction,bf_00',0.031407723,0.001289166,0.029347404,0.033607058,500000,0.001228,4.98E-05,2,1746
similarity,bf_u0,0.031421838,0.004992928,0.024134393,0.040661556,500000,0.002546,7.20E-05,2,1471
non-monotonic_attraction,bf_00',0.031440882,0.001294149,0.029451751,0.033710272,500000,0.001248,5.08E-05,14,3512
repulsion,bf_0u,0.031457181,8.44E-04,0.030094189,0.032832863,500000,0.002752,7.47E-05,9,2466
non-monotonic_attraction,bf_0u,0.031583351,0.001285593,0.02946556,0.033735413,500000,0.001208,4.91E-05,5,1541
non-monotonic_attraction,bf_0u,0.03166199,0.001291167,0.029599219,0.033865638,500000,0.001196,4.85E-05,2,1471
repulsion,bf_0u,0.031708601,8.66E-04,0.030293714,0.033130544,500000,0.00277,7.44E-05,9,323
repulsion,bf_00',0.031783876,8.36E-04,0.03043993,0.033174516,500000,0.00301,7.90E-05,9,3672
non-monotonic_attraction,bf_0u,0.031997466,0.001319587,0.029958755,0.034240593,500000,0.001212,4.96E-05,9,2566
similarity,bf_u0,0.032110092,0.005461973,0.024201016,0.042028616,500000,0.00218,6.57E-05,2,1291
attraction,bf_00',0.032169435,8.24E-04,0.030815434,0.033524236,500000,0.003052,7.72E-05,5,2183
repulsion,bf_0u,0.032176354,8.59E-04,0.030820256,0.033650883,500000,0.00282,7.46E-05,9,2132
similarity,bf_00',0.032256129,0.040244308,0.005903727,0.128667272,500000,2.00E-06,2.43E-06,5,3252
similarity,bf_00',0.032256129,0.04169045,0.005020546,0.129537922,500000,2.00E-06,2.45E-06,9,2861
similarity,bf_00',0.032256129,0.042792926,0.00533475,0.135269025,500000,2.00E-06,2.42E-06,14,3172
similarity,bf_0u,0.032258065,0.040246219,0.005904137,0.128674605,500000,2.00E-06,2.43E-06,5,3252
similarity,bf_0u,0.032258065,0.041692378,0.005020863,0.129543831,500000,2.00E-06,2.45E-06,9,2861
similarity,bf_0u,0.032258065,0.042794938,0.005335034,0.13527604,500000,2.00E-06,2.42E-06,14,3172
similarity,bf_00',0.032350812,0.009185413,0.020532213,0.049400531,10000000,2.20E-06,4.80E-07,14,2661
similarity,bf_0u,0.032352941,0.009185727,0.020533904,0.049403044,10000000,2.20E-06,4.80E-07,14,2661
non-monotonic_repulsion,bf_00',0.032391569,0.001334553,0.030230299,0.034595876,500000,0.00126,5.05E-05,2,1722
similarity,bf_u0,0.032451923,0.006437091,0.023236676,0.044235205,500000,0.001664,5.76E-05,2,2661
repulsion,bf_0u,0.032503379,8.78E-04,0.03109996,0.033974389,500000,0.002838,7.48E-05,5,292
repulsion,bf_0u,0.032518466,8.57E-04,0.031115676,0.03397128,500000,0.002844,7.42E-05,2,1983
non-monotonic_attraction,bf_0u,0.032542805,0.001340183,0.030365912,0.034808216,500000,0.001224,4.99E-05,9,556
non-monotonic_attraction,bf_0u,0.032551536,0.001314806,0.030442684,0.034819045,500000,0.001238,4.98E-05,9,3843
non-monotonic_attraction,bf_0u,0.032597154,0.001334918,0.030467309,0.034870053,500000,0.001228,4.98E-05,2,1746
non-monotonic_attraction,bf_0u,0.032649644,0.001340435,0.030583842,0.035001987,500000,0.001248,5.08E-05,14,3512
non-monotonic_attraction,bf_00',0.032654554,0.001302769,0.030559582,0.034848261,500000,0.001294,5.10E-05,5,141
repulsion,bf_0u,0.032768542,8.57E-04,0.031406465,0.034223617,500000,0.00287,7.64E-05,14,532
repulsion,bf_00',0.032774993,8.57E-04,0.031362779,0.034192794,500000,0.003126,7.90E-05,9,2893
non-monotonic_attraction,bf_00',0.033068617,0.001344725,0.030929621,0.035340766,500000,0.001292,5.13E-05,9,3683
repulsion,bf_00',0.033091082,8.64E-04,0.031708979,0.034534642,500000,0.003154,7.89E-05,2,1656
non-monotonic_attraction,bf_00',0.033092913,0.001310921,0.03102713,0.035286671,500000,0.001304,5.07E-05,5,3082
repulsion,bf_00',0.033232196,8.46E-04,0.031888184,0.034636937,500000,0.003182,8.02E-05,5,3583
similarity,bf_00',0.0333314,0.043806882,0.005505994,0.138063237,500000,2.00E-06,2.48E-06,5,2692
similarity,bf_u0,0.033333333,0.005897104,0.024523005,0.04390984,500000,0.00198,6.25E-05,2,2236
similarity,bf_0u,0.033333333,0.043808819,0.005506332,0.13806792,500000,2.00E-06,2.48E-06,5,2692
repulsion,bf_0u,0.033381447,8.85E-04,0.031957216,0.03482137,500000,0.002914,7.60E-05,9,1733
repulsion,bf_00',0.033463178,8.51E-04,0.03210466,0.034869055,500000,0.003186,7.88E-05,14,941
non-monotonic_attraction,bf_00',0.03347852,0.001333721,0.03130724,0.035728589,500000,0.001316,5.11E-05,2,3886
similarity,bf_u0,0.033530572,0.005927678,0.025062607,0.044370388,500000,0.002028,6.38E-05,5,2163
similarity,bf_u0,0.033563672,0.006073124,0.024980871,0.044649712,500000,0.002026,6.37E-05,2,1273
non-monotonic_repulsion,bf_0u,0.033610755,0.001381426,0.031370639,0.035896671,500000,0.00126,5.05E-05,2,1722
similarity,bf_00',0.033747391,0.008837992,0.022601145,0.051524609,10000000,2.70E-06,5.26E-07,5,2333
similarity,bf_0u,0.03375,0.008838351,0.02260295,0.051527458,10000000,2.70E-06,5.26E-07,5,2333
non-monotonic_attraction,bf_00',0.033755488,0.001319388,0.031610566,0.035945572,500000,0.001326,5.07E-05,9,261
non-monotonic_attraction,bf_0u,0.033906299,0.001349169,0.031734017,0.036178978,500000,0.001294,5.10E-05,5,141
repulsion,bf_00',0.033970781,8.69E-04,0.032548613,0.035395785,500000,0.00322,8.21E-05,2,1912
repulsion,bf_0u,0.034012829,8.87E-04,0.032554977,0.035449944,500000,0.00298,7.86E-05,2,472
repulsion,bf_00',0.034080149,8.68E-04,0.032695773,0.035520334,500000,0.00324,7.95E-05,14,2911
non-monotonic_attraction,bf_00',0.034109036,0.00136521,0.031921268,0.036460034,500000,0.001352,5.24E-05,2,1963
non-monotonic_attraction,bf_00',0.034243086,0.001354677,0.032108058,0.036564918,500000,0.001332,5.12E-05,9,3273
repulsion,bf_0u,0.034250011,9.00E-04,0.032761007,0.035749001,500000,0.003004,7.83E-05,2,3412
non-monotonic_attraction,bf_0u,0.034317892,0.00139224,0.032108411,0.03667021,500000,0.001292,5.13E-05,9,3683
repulsion,bf_00',0.034322835,8.78E-04,0.032890244,0.035777416,500000,0.003272,8.11E-05,5,2103
non-monotonic_attraction,bf_0u,0.034353759,0.001357112,0.032207927,0.036634962,500000,0.001304,5.07E-05,5,3082
non-monotonic_attraction,bf_00',0.034418442,0.00135794,0.03229569,0.03679278,500000,0.001344,5.14E-05,9,3482
similarity,bf_00',0.034480828,0.044489897,0.006417676,0.141738002,500000,2.00E-06,2.44E-06,5,826
