model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
non-monotonic_attraction,bf_0u,3.14E-05,9.56E-06,1.88E-05,4.95E-05,10000000,1.20E-06,3.58E-07,2,1751
non-monotonic_attraction,bf_00',4.11E-05,1.04E-05,2.70E-05,6.02E-05,10000000,1.60E-06,3.99E-07,5,2493
non-monotonic_attraction,bf_0u,4.27E-05,1.08E-05,2.80E-05,6.26E-05,10000000,1.60E-06,3.99E-07,5,2493
non-monotonic_attraction,bf_00',4.29E-05,1.08E-05,2.80E-05,6.32E-05,10000000,1.70E-06,4.09E-07,5,2601
non-monotonic_attraction,bf_0u,4.46E-05,1.12E-05,2.91E-05,6.58E-05,10000000,1.70E-06,4.09E-07,5,2601
non-monotonic_attraction,bf_00',4.99E-05,6.05E-05,8.51E-06,1.90E-04,500000,2.00E-06,2.49E-06,9,1351
non-monotonic_attraction,bf_00',5.05E-05,6.32E-05,9.35E-06,2.02E-04,500000,2.00E-06,2.46E-06,5,481
non-monotonic_attraction,bf_00',5.06E-05,6.26E-05,8.64E-06,1.95E-04,500000,2.00E-06,2.47E-06,2,2501
non-monotonic_attraction,bf_00',5.10E-05,6.28E-05,9.02E-06,1.96E-04,500000,2.00E-06,2.52E-06,5,3843
non-monotonic_attraction,bf_00',5.10E-05,6.22E-05,9.81E-06,2.01E-04,500000,2.00E-06,2.44E-06,5,682
non-monotonic_attraction,bf_00',5.12E-05,6.38E-05,9.21E-06,2.04E-04,500000,2.00E-06,2.41E-06,2,2792
non-monotonic_attraction,bf_00',5.13E-05,6.28E-05,8.49E-06,2.05E-04,500000,2.00E-06,2.44E-06,2,3262
non-monotonic_attraction,bf_00',5.13E-05,6.33E-05,8.73E-06,1.95E-04,500000,2.00E-06,2.44E-06,2,2571
non-monotonic_attraction,bf_0u,5.19E-05,6.29E-05,8.85E-06,1.98E-04,500000,2.00E-06,2.49E-06,9,1351
non-monotonic_attraction,bf_0u,5.25E-05,6.57E-05,9.72E-06,2.10E-04,500000,2.00E-06,2.46E-06,5,481
non-monotonic_attraction,bf_0u,5.26E-05,6.51E-05,8.98E-06,2.02E-04,500000,2.00E-06,2.47E-06,2,2501
non-monotonic_attraction,bf_0u,5.30E-05,6.53E-05,9.37E-06,2.04E-04,500000,2.00E-06,2.52E-06,5,3843
non-monotonic_attraction,bf_0u,5.30E-05,6.46E-05,1.02E-05,2.09E-04,500000,2.00E-06,2.44E-06,5,682
non-monotonic_attraction,bf_0u,5.32E-05,6.63E-05,9.57E-06,2.12E-04,500000,2.00E-06,2.41E-06,2,2792
non-monotonic_attraction,bf_0u,5.33E-05,6.52E-05,8.82E-06,2.13E-04,500000,2.00E-06,2.44E-06,2,3262
non-monotonic_attraction,bf_0u,5.33E-05,6.58E-05,9.07E-06,2.02E-04,500000,2.00E-06,2.44E-06,2,2571
non-monotonic_attraction,bf_00',6.29E-05,1.28E-05,4.39E-05,8.64E-05,10000000,2.50E-06,5.11E-07,2,1433
non-monotonic_attraction,bf_0u,6.54E-05,1.33E-05,4.56E-05,8.98E-05,10000000,2.50E-06,5.11E-07,2,1433
non-monotonic_attraction,bf_00',1.00E-04,7.92E-05,3.00E-05,2.84E-04,500000,4.00E-06,3.14E-06,2,2941
non-monotonic_attraction,bf_00',1.00E-04,7.91E-05,2.99E-05,2.76E-04,500000,4.00E-06,3.06E-06,9,241
non-monotonic_attraction,bf_00',1.01E-04,7.65E-05,3.07E-05,2.71E-04,500000,4.00E-06,3.16E-06,5,2941
non-monotonic_attraction,bf_00',1.01E-04,7.90E-05,2.91E-05,2.79E-04,500000,4.00E-06,3.20E-06,9,502
non-monotonic_attraction,bf_00',1.02E-04,7.95E-05,2.89E-05,2.79E-04,500000,4.00E-06,3.16E-06,5,2501
non-monotonic_attraction,bf_00',1.02E-04,7.81E-05,3.06E-05,2.72E-04,500000,4.00E-06,3.24E-06,9,3153
non-monotonic_attraction,bf_00',1.02E-04,8.00E-05,2.71E-05,2.81E-04,500000,4.00E-06,3.22E-06,2,2406
non-monotonic_attraction,bf_00',1.03E-04,8.14E-05,3.14E-05,2.90E-04,500000,4.00E-06,3.18E-06,2,612
non-monotonic_attraction,bf_0u,1.04E-04,8.24E-05,3.12E-05,2.96E-04,500000,4.00E-06,3.14E-06,2,2941
