sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
185, 6, bw, practice, NA, 999, 999, 0, 1, 133, 61, 153, 74, 153, 178, 3, 3.36293
185, 6, bw, practice, NA, 999, 999, 0, 1, 133, 61, 153, 74, 153, 178, 1, 4.28288
185, 6, bw, practice, NA, 999, 999, 0, 2, 114, 161, 111, 188, 144, 58, 2, 4.20884
185, 6, bw, practice, NA, 999, 999, 0, 2, 114, 161, 111, 188, 144, 58, 3, 3.08554
185, 6, bw, practice, NA, 999, 999, 0, 3, 67, 169, 63, 116, 63, 111, 1, 4.285
185, 6, bw, practice, NA, 999, 999, 0, 3, 67, 169, 63, 116, 63, 111, 3, 6.91844
185, 6, bw, attraction, a-b-db, 14, 3, 1, 1, 195, 120, 120, 195, 111, 181, 2, 13.9115
185, 6, bw, attraction, a-b-db, 14, 3, 1, 1, 195, 120, 120, 195, 111, 181, 3, 10.0618
185, 6, bw, filler, NA, 999, 999, 1, 2, 97, 130, 122, 89, 138, 137, 3, 3.30992
185, 6, bw, filler, NA, 999, 999, 1, 2, 97, 130, 122, 89, 138, 137, 2, 2.09547
185, 6, bw, attraction, a-b-da, 2, 1, 1, 3, 135, 60, 60, 135, 134, 59, 2, 3.43285
185, 6, bw, attraction, a-b-da, 2, 1, 1, 3, 135, 60, 60, 135, 134, 59, 3, 3.47771
185, 6, bw, attraction, a-b-db, 9, 1, 1, 4, 135, 60, 60, 135, 57, 129, 2, 5.37525
185, 6, bw, attraction, a-b-db, 9, 1, 1, 4, 135, 60, 60, 135, 57, 129, 3, 8.55753
185, 6, bw, attraction, a-b-db, 14, 2, 1, 5, 90, 165, 83, 153, 165, 90, 1, 6.34676
185, 6, bw, attraction, a-b-db, 14, 2, 1, 5, 90, 165, 83, 153, 165, 90, 2, 1.1461
185, 6, bw, filler, NA, 999, 999, 1, 6, 81, 168, 194, 84, 104, 187, 3, 3.65763
185, 6, bw, filler, NA, 999, 999, 1, 6, 81, 168, 194, 84, 104, 187, 1, 1.08521
185, 6, bw, attraction, a-b-da, 14, 3, 1, 7, 181, 111, 120, 195, 195, 120, 2, 4.15147
185, 6, bw, attraction, a-b-da, 14, 3, 1, 7, 181, 111, 120, 195, 195, 120, 1, 0.815471
185, 6, bw, attraction, a-b-da, 9, 2, 1, 8, 157, 86, 90, 165, 165, 90, 2, 2.98054
185, 6, bw, attraction, a-b-da, 9, 2, 1, 8, 157, 86, 90, 165, 165, 90, 1, 0.79556
185, 6, bw, filler, NA, 999, 999, 1, 9, 69, 148, 87, 188, 90, 91, 2, 3.38531
185, 6, bw, filler, NA, 999, 999, 1, 9, 69, 148, 87, 188, 90, 91, 3, 1.10418
185, 6, bw, attraction, a-b-db, 5, 1, 1, 10, 135, 60, 60, 135, 58, 132, 2, 6.44977
185, 6, bw, attraction, a-b-db, 5, 1, 1, 10, 135, 60, 60, 135, 58, 132, 1, 3.56515
185, 6, bw, attraction, a-b-da, 5, 1, 1, 11, 132, 58, 60, 135, 135, 60, 2, 9.10719
185, 6, bw, attraction, a-b-da, 5, 1, 1, 11, 132, 58, 60, 135, 135, 60, 1, 0.539021
185, 6, bw, filler, NA, 999, 999, 1, 12, 112, 150, 95, 92, 156, 173, 3, 1.40345
185, 6, bw, filler, NA, 999, 999, 1, 12, 112, 150, 95, 92, 156, 173, 2, 1.53767
185, 6, bw, attraction, a-b-da, 9, 1, 1, 13, 135, 60, 60, 135, 129, 57, 2, 5.52173
185, 6, bw, attraction, a-b-da, 9, 1, 1, 13, 135, 60, 60, 135, 129, 57, 3, 1.77066
185, 6, bw, filler, NA, 999, 999, 1, 14, 154, 177, 58, 76, 130, 153, 1, 1.57743
185, 6, bw, filler, NA, 999, 999, 1, 14, 154, 177, 58, 76, 130, 153, 2, 1.37681
185, 6, bw, catch, NA, 999, 999, 1, 15, 125, 130, 101, 94, 131, 184, 3, 1.51897
185, 6, bw, catch, NA, 999, 999, 1, 15, 125, 130, 101, 94, 131, 184, 2, 1.20116
185, 6, bw, attraction, a-b-da, 2, 3, 1, 16, 193, 119, 195, 120, 120, 195, 2, 2.63076
185, 6, bw, attraction, a-b-da, 2, 3, 1, 16, 193, 119, 195, 120, 120, 195, 1, 4.26787
185, 6, bw, attraction, a-b-db, 9, 3, 1, 17, 120, 195, 114, 186, 195, 120, 2, 2.34182
185, 6, bw, attraction, a-b-db, 9, 3, 1, 17, 120, 195, 114, 186, 195, 120, 3, 4.83049
185, 6, bw, filler, NA, 999, 999, 1, 18, 72, 73, 106, 92, 114, 94, 3, 4.04157
185, 6, bw, filler, NA, 999, 999, 1, 18, 72, 73, 106, 92, 114, 94, 1, 0.877517
185, 6, bw, filler, NA, 999, 999, 1, 19, 184, 125, 139, 148, 172, 66, 1, 5.03192
185, 6, bw, filler, NA, 999, 999, 1, 19, 184, 125, 139, 148, 172, 66, 3, 1.16429
185, 6, bw, filler, NA, 999, 999, 1, 20, 110, 164, 190, 191, 117, 168, 2, 1.66717
185, 6, bw, filler, NA, 999, 999, 1, 20, 110, 164, 190, 191, 117, 168, 1, 4.15152
185, 6, bw, catch, NA, 999, 999, 1, 21, 189, 126, 113, 82, 92, 163, 1, 2.03805
