sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
197, 6, bw, practice, NA, 999, 999, 0, 1, 162, 81, 99, 145, 78, 89, 2, 1.74377
197, 6, bw, practice, NA, 999, 999, 0, 1, 162, 81, 99, 145, 78, 89, 1, 6.63127
197, 6, bw, practice, NA, 999, 999, 0, 2, 109, 190, 93, 134, 113, 138, 1, 3.75526
197, 6, bw, practice, NA, 999, 999, 0, 2, 109, 190, 93, 134, 113, 138, 3, 10.7416
197, 6, bw, practice, NA, 999, 999, 0, 3, 84, 83, 107, 136, 139, 107, 2, 5.3437
197, 6, bw, practice, NA, 999, 999, 0, 3, 84, 83, 107, 136, 139, 107, 3, 2.56833
197, 6, bw, filler, NA, 999, 999, 1, 1, 78, 89, 105, 106, 190, 135, 3, 1.1093
197, 6, bw, filler, NA, 999, 999, 1, 1, 78, 89, 105, 106, 190, 135, 2, 2.3594
197, 6, bw, attraction, a-b-da, 9, 1, 1, 2, 129, 57, 60, 135, 135, 60, 2, 2.19788
197, 6, bw, attraction, a-b-da, 9, 1, 1, 2, 129, 57, 60, 135, 135, 60, 3, 1.03652
197, 6, bw, attraction, a-b-da, 5, 3, 1, 3, 195, 120, 190, 117, 120, 195, 3, 2.62493
197, 6, bw, attraction, a-b-da, 5, 3, 1, 3, 195, 120, 190, 117, 120, 195, 2, 0.998007
197, 6, bw, attraction, a-b-da, 5, 1, 1, 4, 135, 60, 60, 135, 132, 58, 2, 1.19554
197, 6, bw, attraction, a-b-da, 5, 1, 1, 4, 135, 60, 60, 135, 132, 58, 3, 0.642535
197, 6, bw, attraction, a-b-db, 5, 2, 1, 5, 90, 165, 165, 90, 88, 161, 3, 1.91832
197, 6, bw, attraction, a-b-db, 5, 2, 1, 5, 90, 165, 165, 90, 88, 161, 2, 0.81654
197, 6, bw, attraction, a-b-db, 5, 3, 1, 6, 120, 195, 195, 120, 117, 190, 3, 1.79738
197, 6, bw, attraction, a-b-db, 5, 3, 1, 6, 120, 195, 195, 120, 117, 190, 2, 0.780297
197, 6, bw, attraction, a-b-db, 2, 1, 1, 7, 60, 135, 135, 60, 59, 134, 1, 1.51446
197, 6, bw, attraction, a-b-db, 2, 1, 1, 7, 60, 135, 135, 60, 59, 134, 3, 0.836671
197, 6, bw, attraction, a-b-da, 2, 2, 1, 8, 163, 89, 90, 165, 165, 90, 2, 0.881099
197, 6, bw, attraction, a-b-da, 2, 2, 1, 8, 163, 89, 90, 165, 165, 90, 3, 1.09268
197, 6, bw, filler, NA, 999, 999, 1, 9, 145, 87, 65, 173, 184, 141, 3, 0.862263
197, 6, bw, filler, NA, 999, 999, 1, 9, 145, 87, 65, 173, 184, 141, 2, 0.498599
197, 6, bw, filler, NA, 999, 999, 1, 10, 116, 189, 160, 141, 125, 164, 2, 0.828418
