sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
74, 6, wb, practice, NA, 999, 999, 0, 1, 104, 60, 189, 80, 90, 181, 1, 3.25856
74, 6, wb, practice, NA, 999, 999, 0, 1, 104, 60, 189, 80, 90, 181, 3, 3.56382
74, 6, wb, practice, NA, 999, 999, 0, 2, 183, 194, 73, 145, 88, 167, 2, 1.8725
74, 6, wb, practice, NA, 999, 999, 0, 2, 183, 194, 73, 145, 88, 167, 1, 1.4984
74, 6, wb, practice, NA, 999, 999, 0, 3, 155, 156, 152, 94, 154, 91, 2, 5.05774
74, 6, wb, practice, NA, 999, 999, 0, 3, 155, 156, 152, 94, 154, 91, 1, 1.44532
74, 6, wb, attraction, a-b-db, 5, 3, 1, 1, 120, 195, 117, 190, 195, 120, 3, 7.36715
74, 6, wb, attraction, a-b-db, 5, 3, 1, 1, 120, 195, 117, 190, 195, 120, 1, 1.17354
74, 6, wb, catch, NA, 999, 999, 1, 2, 158, 157, 90, 105, 103, 152, 2, 0.915654
74, 6, wb, catch, NA, 999, 999, 1, 2, 158, 157, 90, 105, 103, 152, 1, 0.750089
74, 6, wb, attraction, a-b-db, 2, 1, 1, 3, 135, 60, 60, 135, 59, 134, 3, 2.0939
74, 6, wb, attraction, a-b-db, 2, 1, 1, 3, 135, 60, 60, 135, 59, 134, 1, 0.856515
74, 6, wb, filler, NA, 999, 999, 1, 4, 120, 72, 173, 177, 70, 187, 1, 1.28347
74, 6, wb, filler, NA, 999, 999, 1, 4, 120, 72, 173, 177, 70, 187, 2, 0.543136
74, 6, wb, attraction, a-b-db, 2, 3, 1, 5, 120, 195, 119, 193, 195, 120, 3, 2.09471
74, 6, wb, attraction, a-b-db, 2, 3, 1, 5, 120, 195, 119, 193, 195, 120, 2, 0.785364
74, 6, wb, attraction, a-b-da, 5, 1, 1, 6, 60, 135, 132, 58, 135, 60, 1, 1.35169
74, 6, wb, attraction, a-b-da, 5, 1, 1, 6, 60, 135, 132, 58, 135, 60, 3, 0.704831
74, 6, wb, filler, NA, 999, 999, 1, 7, 180, 138, 180, 151, 176, 72, 3, 1.1544
74, 6, wb, filler, NA, 999, 999, 1, 7, 180, 138, 180, 151, 176, 72, 2, 0.450629
74, 6, wb, attraction, a-b-db, 14, 3, 1, 8, 111, 181, 195, 120, 120, 195, 1, 1.41441
74, 6, wb, attraction, a-b-db, 14, 3, 1, 8, 111, 181, 195, 120, 120, 195, 3, 0.820811
74, 6, wb, attraction, a-b-da, 2, 2, 1, 9, 163, 89, 90, 165, 165, 90, 1, 3.30581
74, 6, wb, attraction, a-b-da, 2, 2, 1, 9, 163, 89, 90, 165, 165, 90, 2, 0.691192
74, 6, wb, attraction, a-b-da, 9, 1, 1, 10, 129, 57, 135, 60, 60, 135, 3, 1.837
74, 6, wb, attraction, a-b-da, 9, 1, 1, 10, 129, 57, 135, 60, 60, 135, 1, 0.946325
74, 6, wb, attraction, a-b-da, 9, 2, 1, 11, 165, 90, 90, 165, 157, 86, 3, 1.53806
74, 6, wb, attraction, a-b-da, 9, 2, 1, 11, 165, 90, 90, 165, 157, 86, 2, 1.01083
74, 6, wb, filler, NA, 999, 999, 1, 12, 107, 128, 147, 186, 96, 195, 1, 1.05582
74, 6, wb, filler, NA, 999, 999, 1, 12, 107, 128, 147, 186, 96, 195, 2, 1.04409
74, 6, wb, filler, NA, 999, 999, 1, 13, 60, 74, 171, 98, 129, 152, 1, 1.15167
74, 6, wb, filler, NA, 999, 999, 1, 13, 60, 74, 171, 98, 129, 152, 3, 0.536771
74, 6, wb, attraction, a-b-db, 14, 2, 1, 14, 83, 153, 90, 165, 165, 90, 3, 0.977132
74, 6, wb, attraction, a-b-db, 14, 2, 1, 14, 83, 153, 90, 165, 165, 90, 2, 0.744801
74, 6, wb, attraction, a-b-da, 2, 3, 1, 15, 193, 119, 120, 195, 195, 120, 1, 0.936395
74, 6, wb, attraction, a-b-da, 2, 3, 1, 15, 193, 119, 120, 195, 195, 120, 2, 0.953564
74, 6, wb, attraction, a-b-da, 14, 3, 1, 16, 120, 195, 195, 120, 181, 111, 3, 0.817134
74, 6, wb, attraction, a-b-da, 14, 3, 1, 16, 120, 195, 195, 120, 181, 111, 1, 0.519683
74, 6, wb, attraction, a-b-db, 2, 2, 1, 17, 89, 163, 165, 90, 90, 165, 2, 1.17669
74, 6, wb, attraction, a-b-db, 2, 2, 1, 17, 89, 163, 165, 90, 90, 165, 3, 0.400247
74, 6, wb, attraction, a-b-db, 5, 1, 1, 18, 135, 60, 58, 132, 60, 135, 3, 1.11014
74, 6, wb, attraction, a-b-db, 5, 1, 1, 18, 135, 60, 58, 132, 60, 135, 1, 0.968316
74, 6, wb, attraction, a-b-db, 9, 1, 1, 19, 135, 60, 60, 135, 57, 129, 3, 1.75938
74, 6, wb, attraction, a-b-db, 9, 1, 1, 19, 135, 60, 60, 135, 57, 129, 1, 0.711425
74, 6, wb, attraction, a-b-da, 2, 1, 1, 20, 135, 60, 134, 59, 60, 135, 3, 1.31252
74, 6, wb, attraction, a-b-da, 2, 1, 1, 20, 135, 60, 134, 59, 60, 135, 1, 0.75467
74, 6, wb, attraction, a-b-da, 9, 3, 1, 21, 195, 120, 120, 195, 186, 114, 3, 1.62645
74, 6, wb, attraction, a-b-da, 9, 3, 1, 21, 195, 120, 120, 195, 186, 114, 2, 0.591823
74, 6, wb, attraction, a-b-da, 14, 2, 1, 22, 90, 165, 165, 90, 153, 83, 3, 0.829767
74, 6, wb, attraction, a-b-da, 14, 2, 1, 22, 90, 165, 165, 90, 153, 83, 1, 1.20341
74, 6, wb, filler, NA, 999, 999, 1, 23, 93, 147, 63, 77, 187, 153, 2, 0.976944
74, 6, wb, filler, NA, 999, 999, 1, 23, 93, 147, 63, 77, 187, 153, 3, 0.712644
74, 6, wb, filler, NA, 999, 999, 1, 24, 192, 175, 102, 177, 64, 147, 3, 1.19366
74, 6, wb, filler, NA, 999, 999, 1, 24, 192, 175, 102, 177, 64, 147, 1, 0.840604
74, 6, wb, filler, NA, 999, 999, 1, 25, 103, 169, 81, 179, 87, 161, 3, 1.29227
74, 6, wb, filler, NA, 999, 999, 1, 25, 103, 169, 81, 179, 87, 161, 1, 3.93516
74, 6, wb, attraction, a-b-db, 9, 3, 1, 26, 195, 120, 114, 186, 120, 195, 3, 15.2545
