sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
135, 1, bw, practice, NA, 999, 999, 0, 1, 67, 58, 176, 59, 105, 65, 2, 3.55351
135, 1, bw, practice, NA, 999, 999, 0, 1, 67, 58, 176, 59, 105, 65, 1, 5.76089
135, 1, bw, practice, NA, 999, 999, 0, 2, 142, 131, 140, 149, 94, 164, 2, 3.94101
135, 1, bw, practice, NA, 999, 999, 0, 2, 142, 131, 140, 149, 94, 164, 3, 5.72732
135, 1, bw, practice, NA, 999, 999, 0, 3, 113, 173, 195, 120, 186, 72, 2, 6.22574
135, 1, bw, practice, NA, 999, 999, 0, 3, 113, 173, 195, 120, 186, 72, 1, 3.30409
135, 1, bw, attraction, a-b-da, 14, 2, 1, 1, 90, 165, 153, 83, 165, 90, 1, 6.86559
135, 1, bw, attraction, a-b-da, 14, 2, 1, 1, 90, 165, 153, 83, 165, 90, 2, 2.58793
135, 1, bw, filler, NA, 999, 999, 1, 2, 85, 133, 123, 144, 192, 74, 2, 6.46586
135, 1, bw, filler, NA, 999, 999, 1, 2, 85, 133, 123, 144, 192, 74, 1, 2.30037
135, 1, bw, attraction, a-b-da, 2, 2, 1, 3, 90, 165, 165, 90, 163, 89, 1, 4.0777
135, 1, bw, attraction, a-b-da, 2, 2, 1, 3, 90, 165, 165, 90, 163, 89, 3, 1.71233
135, 1, bw, attraction, a-b-db, 5, 2, 1, 4, 165, 90, 88, 161, 90, 165, 2, 3.84115
135, 1, bw, attraction, a-b-db, 5, 2, 1, 4, 165, 90, 88, 161, 90, 165, 1, 2.30919
135, 1, bw, attraction, a-b-da, 5, 1, 1, 5, 132, 58, 60, 135, 135, 60, 2, 5.09373
135, 1, bw, attraction, a-b-da, 5, 1, 1, 5, 132, 58, 60, 135, 135, 60, 1, 4.19947
135, 1, bw, attraction, a-b-db, 2, 1, 1, 6, 60, 135, 135, 60, 59, 134, 1, 4.54005
135, 1, bw, attraction, a-b-db, 2, 1, 1, 6, 60, 135, 135, 60, 59, 134, 2, 3.18795
135, 1, bw, attraction, a-b-db, 14, 3, 1, 7, 195, 120, 111, 181, 120, 195, 3, 4.22557
135, 1, bw, attraction, a-b-db, 14, 3, 1, 7, 195, 120, 111, 181, 120, 195, 1, 2.47819
135, 1, bw, filler, NA, 999, 999, 1, 8, 193, 132, 99, 154, 156, 121, 1, 2.35201
135, 1, bw, filler, NA, 999, 999, 1, 8, 193, 132, 99, 154, 156, 121, 2, 1.60869
135, 1, bw, filler, NA, 999, 999, 1, 9, 189, 135, 71, 149, 125, 177, 1, 3.92548
135, 1, bw, filler, NA, 999, 999, 1, 9, 189, 135, 71, 149, 125, 177, 2, 2.02223
135, 1, bw, attraction, a-b-da, 5, 2, 1, 10, 161, 88, 90, 165, 165, 90, 2, 3.8108
135, 1, bw, attraction, a-b-da, 5, 2, 1, 10, 161, 88, 90, 165, 165, 90, 1, 1.85631
135, 1, bw, catch, NA, 999, 999, 1, 11, 193, 122, 122, 133, 111, 84, 2, 4.93157
135, 1, bw, catch, NA, 999, 999, 1, 11, 193, 122, 122, 133, 111, 84, 3, 1.53997
135, 1, bw, filler, NA, 999, 999, 1, 12, 64, 115, 61, 181, 195, 123, 3, 4.16418
135, 1, bw, filler, NA, 999, 999, 1, 12, 64, 115, 61, 181, 195, 123, 1, 5.57944
135, 1, bw, filler, NA, 999, 999, 1, 13, 175, 140, 150, 158, 120, 96, 2, 6.04035
135, 1, bw, filler, NA, 999, 999, 1, 13, 175, 140, 150, 158, 120, 96, 3, 3.08389
135, 1, bw, attraction, a-b-db, 5, 1, 1, 14, 60, 135, 58, 132, 135, 60, 1, 4.85346
135, 1, bw, attraction, a-b-db, 5, 1, 1, 14, 60, 135, 58, 132, 135, 60, 3, 2.9532
135, 1, bw, attraction, a-b-db, 14, 1, 1, 15, 60, 135, 135, 60, 56, 125, 1, 4.96019
135, 1, bw, attraction, a-b-db, 14, 1, 1, 15, 60, 135, 135, 60, 56, 125, 2, 3.35132
135, 1, bw, catch, NA, 999, 999, 1, 16, 162, 93, 69, 126, 156, 159, 3, 1.83822
