sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
392, 1, wb, practice, NA, 999, 999, 0, 1, 103, 123, 173, 133, 162, 104, 1, 7.51696
392, 1, wb, practice, NA, 999, 999, 0, 1, 103, 123, 173, 133, 162, 104, 2, 2.9403
392, 1, wb, practice, NA, 999, 999, 0, 2, 104, 150, 129, 179, 118, 120, 3, 4.32272
392, 1, wb, practice, NA, 999, 999, 0, 2, 104, 150, 129, 179, 118, 120, 2, 1.34867
392, 1, wb, practice, NA, 999, 999, 0, 3, 95, 116, 106, 139, 62, 87, 3, 2.16162
392, 1, wb, practice, NA, 999, 999, 0, 3, 95, 116, 106, 139, 62, 87, 2, 1.22252
392, 1, wb, filler, NA, 999, 999, 1, 1, 109, 190, 158, 102, 192, 152, 2, 4.01827
392, 1, wb, filler, NA, 999, 999, 1, 1, 109, 190, 158, 102, 192, 152, 3, 1.10379
392, 1, wb, attraction, a-b-da, 9, 3, 1, 2, 186, 114, 195, 120, 120, 195, 1, 2.36943
392, 1, wb, attraction, a-b-da, 9, 3, 1, 2, 186, 114, 195, 120, 120, 195, 3, 1.68113
392, 1, wb, filler, NA, 999, 999, 1, 3, 182, 169, 161, 143, 81, 154, 3, 1.4433
392, 1, wb, filler, NA, 999, 999, 1, 3, 182, 169, 161, 143, 81, 154, 1, 1.05624
392, 1, wb, attraction, a-b-da, 5, 1, 1, 4, 60, 135, 135, 60, 132, 58, 3, 6.66777
392, 1, wb, attraction, a-b-da, 5, 1, 1, 4, 60, 135, 135, 60, 132, 58, 1, 0.550327
392, 1, wb, attraction, a-b-db, 14, 2, 1, 5, 165, 90, 90, 165, 83, 153, 3, 2.53408
392, 1, wb, attraction, a-b-db, 14, 2, 1, 5, 165, 90, 90, 165, 83, 153, 1, 1.48717
392, 1, wb, attraction, a-b-db, 2, 1, 1, 6, 60, 135, 59, 134, 135, 60, 2, 1.98546
392, 1, wb, attraction, a-b-db, 2, 1, 1, 6, 60, 135, 59, 134, 135, 60, 3, 1.08873
392, 1, wb, attraction, a-b-da, 14, 1, 1, 7, 125, 56, 60, 135, 135, 60, 1, 4.59504
392, 1, wb, attraction, a-b-da, 14, 1, 1, 7, 125, 56, 60, 135, 135, 60, 2, 3.40086
392, 1, wb, filler, NA, 999, 999, 1, 8, 78, 64, 153, 171, 81, 131, 1, 1.26179
392, 1, wb, filler, NA, 999, 999, 1, 8, 78, 64, 153, 171, 81, 131, 2, 0.770029
392, 1, wb, attraction, a-b-db, 14, 3, 1, 9, 111, 181, 195, 120, 120, 195, 1, 1.28102
392, 1, wb, attraction, a-b-db, 14, 3, 1, 9, 111, 181, 195, 120, 120, 195, 3, 0.700628
392, 1, wb, attraction, a-b-da, 2, 3, 1, 10, 195, 120, 193, 119, 120, 195, 2, 1.69429
392, 1, wb, attraction, a-b-da, 2, 3, 1, 10, 195, 120, 193, 119, 120, 195, 1, 2.52127
