sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
125, 1, bw, practice, NA, 999, 999, 0, 1, 70, 96, 132, 100, 119, 132, 3, 3.53411
125, 1, bw, practice, NA, 999, 999, 0, 1, 70, 96, 132, 100, 119, 132, 1, 2.48597
125, 1, bw, practice, NA, 999, 999, 0, 2, 179, 182, 168, 124, 167, 191, 1, 3.31686
125, 1, bw, practice, NA, 999, 999, 0, 2, 179, 182, 168, 124, 167, 191, 2, 2.25483
125, 1, bw, practice, NA, 999, 999, 0, 3, 110, 155, 57, 149, 75, 178, 1, 2.42181
125, 1, bw, practice, NA, 999, 999, 0, 3, 110, 155, 57, 149, 75, 178, 2, 1.33163
125, 1, bw, attraction, a-b-da, 2, 1, 1, 1, 60, 135, 135, 60, 134, 59, 1, 5.08128
125, 1, bw, attraction, a-b-da, 2, 1, 1, 1, 60, 135, 135, 60, 134, 59, 2, 2.13968
125, 1, bw, filler, NA, 999, 999, 1, 2, 96, 75, 67, 170, 103, 72, 2, 4.13183
125, 1, bw, filler, NA, 999, 999, 1, 2, 96, 75, 67, 170, 103, 72, 3, 2.29235
125, 1, bw, attraction, a-b-db, 2, 2, 1, 3, 165, 90, 90, 165, 89, 163, 2, 3.65364
125, 1, bw, attraction, a-b-db, 2, 2, 1, 3, 165, 90, 90, 165, 89, 163, 3, 2.03378
125, 1, bw, attraction, a-b-da, 5, 3, 1, 4, 195, 120, 190, 117, 120, 195, 3, 1.37369
125, 1, bw, attraction, a-b-da, 5, 3, 1, 4, 195, 120, 190, 117, 120, 195, 2, 0.525415
125, 1, bw, filler, NA, 999, 999, 1, 5, 74, 176, 193, 131, 154, 182, 3, 1.00562
125, 1, bw, filler, NA, 999, 999, 1, 5, 74, 176, 193, 131, 154, 182, 1, 0.403986
125, 1, bw, attraction, a-b-da, 9, 2, 1, 6, 165, 90, 157, 86, 90, 165, 3, 2.09792
125, 1, bw, attraction, a-b-da, 9, 2, 1, 6, 165, 90, 157, 86, 90, 165, 2, 0.532665
