sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
278, 1, wb, practice, NA, 999, 999, 0, 1, 174, 192, 175, 169, 60, 59, 3, 1.93472
278, 1, wb, practice, NA, 999, 999, 0, 1, 174, 192, 175, 169, 60, 59, 1, 2.76111
278, 1, wb, practice, NA, 999, 999, 0, 2, 140, 99, 181, 56, 144, 122, 2, 9.74093
278, 1, wb, practice, NA, 999, 999, 0, 2, 140, 99, 181, 56, 144, 122, 3, 3.68625
278, 1, wb, practice, NA, 999, 999, 0, 3, 157, 170, 112, 170, 141, 73, 3, 3.74663
278, 1, wb, practice, NA, 999, 999, 0, 3, 157, 170, 112, 170, 141, 73, 1, 8.58762
278, 1, wb, attraction, a-b-da, 5, 2, 1, 1, 165, 90, 161, 88, 90, 165, 2, 3.48167
278, 1, wb, attraction, a-b-da, 5, 2, 1, 1, 165, 90, 161, 88, 90, 165, 3, 1.01263
278, 1, wb, attraction, a-b-db, 9, 3, 1, 2, 114, 186, 120, 195, 195, 120, 2, 3.69755
278, 1, wb, attraction, a-b-db, 9, 3, 1, 2, 114, 186, 120, 195, 195, 120, 3, 1.35557
278, 1, wb, attraction, a-b-da, 14, 2, 1, 3, 165, 90, 153, 83, 90, 165, 2, 6.17911
278, 1, wb, attraction, a-b-da, 14, 2, 1, 3, 165, 90, 153, 83, 90, 165, 3, 1.53724
278, 1, wb, attraction, a-b-db, 5, 1, 1, 4, 60, 135, 58, 132, 135, 60, 2, 4.81733
278, 1, wb, attraction, a-b-db, 5, 1, 1, 4, 60, 135, 58, 132, 135, 60, 1, 2.07835
278, 1, wb, catch, NA, 999, 999, 1, 5, 123, 132, 146, 169, 79, 116, 3, 1.92032
278, 1, wb, catch, NA, 999, 999, 1, 5, 123, 132, 146, 169, 79, 116, 2, 0.970354
278, 1, wb, attraction, a-b-db, 9, 1, 1, 6, 135, 60, 57, 129, 60, 135, 2, 2.88144
278, 1, wb, attraction, a-b-db, 9, 1, 1, 6, 135, 60, 57, 129, 60, 135, 3, 2.55643
278, 1, wb, attraction, a-b-da, 2, 1, 1, 7, 135, 60, 60, 135, 134, 59, 2, 5.00352
278, 1, wb, attraction, a-b-da, 2, 1, 1, 7, 135, 60, 60, 135, 134, 59, 1, 1.68932
278, 1, wb, attraction, a-b-da, 9, 3, 1, 8, 120, 195, 186, 114, 195, 120, 2, 4.22736
278, 1, wb, attraction, a-b-da, 9, 3, 1, 8, 120, 195, 186, 114, 195, 120, 3, 3.36819
278, 1, wb, attraction, a-b-db, 14, 1, 1, 9, 60, 135, 56, 125, 135, 60, 2, 2.55024
278, 1, wb, attraction, a-b-db, 14, 1, 1, 9, 60, 135, 56, 125, 135, 60, 3, 1.64686
278, 1, wb, attraction, a-b-da, 2, 3, 1, 10, 120, 195, 193, 119, 195, 120, 2, 5.93826
278, 1, wb, attraction, a-b-da, 2, 3, 1, 10, 120, 195, 193, 119, 195, 120, 1, 0.442694
278, 1, wb, filler, NA, 999, 999, 1, 11, 152, 69, 185, 192, 177, 72, 1, 1.50202
278, 1, wb, filler, NA, 999, 999, 1, 11, 152, 69, 185, 192, 177, 72, 2, 0.281082
278, 1, wb, attraction, a-b-db, 2, 2, 1, 12, 165, 90, 89, 163, 90, 165, 2, 1.84342
278, 1, wb, attraction, a-b-db, 2, 2, 1, 12, 165, 90, 89, 163, 90, 165, 3, 2.2083
278, 1, wb, catch, NA, 999, 999, 1, 13, 116, 79, 162, 93, 190, 125, 1, 1.0928
278, 1, wb, catch, NA, 999, 999, 1, 13, 116, 79, 162, 93, 190, 125, 3, 0.79177
278, 1, wb, attraction, a-b-db, 14, 2, 1, 14, 165, 90, 90, 165, 83, 153, 3, 1.3095
278, 1, wb, attraction, a-b-db, 14, 2, 1, 14, 165, 90, 90, 165, 83, 153, 1, 1.74375
278, 1, wb, catch, NA, 999, 999, 1, 15, 91, 104, 124, 131, 189, 126, 1, 1.11901
278, 1, wb, catch, NA, 999, 999, 1, 15, 91, 104, 124, 131, 189, 126, 3, 0.385336
