sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
32, 3, wb, practice, NA, 999, 999, 0, 1, 85, 96, 100, 104, 110, 193, 1, 1.68998
32, 3, wb, practice, NA, 999, 999, 0, 1, 85, 96, 100, 104, 110, 193, 3, 1.53497
32, 3, wb, practice, NA, 999, 999, 0, 2, 82, 194, 58, 107, 165, 184, 2, 2.03349
32, 3, wb, practice, NA, 999, 999, 0, 2, 82, 194, 58, 107, 165, 184, 3, 1.63242
32, 3, wb, practice, NA, 999, 999, 0, 3, 112, 131, 86, 80, 127, 146, 2, 2.28764
32, 3, wb, practice, NA, 999, 999, 0, 3, 112, 131, 86, 80, 127, 146, 3, 3.98757
32, 3, wb, attraction, a-b-db, 2, 1, 1, 1, 60, 135, 59, 134, 135, 60, 2, 2.57811
32, 3, wb, attraction, a-b-db, 2, 1, 1, 1, 60, 135, 59, 134, 135, 60, 3, 1.28924
32, 3, wb, catch, NA, 999, 999, 1, 2, 84, 111, 123, 192, 151, 104, 1, 1.35555
32, 3, wb, catch, NA, 999, 999, 1, 2, 84, 111, 123, 192, 151, 104, 2, 0.8757
32, 3, wb, attraction, a-b-da, 5, 3, 1, 3, 195, 120, 190, 117, 120, 195, 2, 3.22995
32, 3, wb, attraction, a-b-da, 5, 3, 1, 3, 195, 120, 190, 117, 120, 195, 3, 0.80294
32, 3, wb, catch, NA, 999, 999, 1, 4, 159, 156, 129, 126, 108, 87, 3, 1.57668
32, 3, wb, catch, NA, 999, 999, 1, 4, 159, 156, 129, 126, 108, 87, 1, 1.20009
32, 3, wb, attraction, a-b-db, 9, 3, 1, 5, 120, 195, 195, 120, 114, 186, 3, 2.0057
32, 3, wb, attraction, a-b-db, 9, 3, 1, 5, 120, 195, 195, 120, 114, 186, 1, 0.675614
32, 3, wb, attraction, a-b-db, 14, 3, 1, 6, 120, 195, 111, 181, 195, 120, 2, 3.35809
32, 3, wb, attraction, a-b-db, 14, 3, 1, 6, 120, 195, 111, 181, 195, 120, 3, 0.893685
32, 3, wb, attraction, a-b-da, 9, 2, 1, 7, 90, 165, 157, 86, 165, 90, 2, 1.59937
32, 3, wb, attraction, a-b-da, 9, 2, 1, 7, 90, 165, 157, 86, 165, 90, 1, 1.61413
32, 3, wb, filler, NA, 999, 999, 1, 8, 64, 135, 126, 121, 187, 177, 1, 1.10694
32, 3, wb, filler, NA, 999, 999, 1, 8, 64, 135, 126, 121, 187, 177, 3, 0.669234
32, 3, wb, attraction, a-b-db, 9, 1, 1, 9, 60, 135, 135, 60, 57, 129, 2, 1.46421
32, 3, wb, attraction, a-b-db, 9, 1, 1, 9, 60, 135, 135, 60, 57, 129, 1, 1.39647
32, 3, wb, attraction, a-b-da, 14, 1, 1, 10, 125, 56, 60, 135, 135, 60, 1, 2.4099
32, 3, wb, attraction, a-b-da, 14, 1, 1, 10, 125, 56, 60, 135, 135, 60, 2, 1.03195
32, 3, wb, attraction, a-b-da, 2, 3, 1, 11, 195, 120, 193, 119, 120, 195, 1, 2.1641
32, 3, wb, attraction, a-b-da, 2, 3, 1, 11, 195, 120, 193, 119, 120, 195, 3, 0.62817
32, 3, wb, attraction, a-b-da, 2, 2, 1, 12, 163, 89, 90, 165, 165, 90, 2, 2.00838
32, 3, wb, attraction, a-b-da, 2, 2, 1, 12, 163, 89, 90, 165, 165, 90, 1, 0.806472
32, 3, wb, filler, NA, 999, 999, 1, 13, 110, 145, 111, 184, 97, 69, 3, 0.852167
