sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
269, 3, bw, practice, NA, 999, 999, 0, 1, 126, 59, 176, 187, 185, 150, 2, 3.75025
269, 3, bw, practice, NA, 999, 999, 0, 1, 126, 59, 176, 187, 185, 150, 1, 2.23883
269, 3, bw, practice, NA, 999, 999, 0, 2, 166, 153, 165, 77, 62, 138, 1, 1.68946
269, 3, bw, practice, NA, 999, 999, 0, 2, 166, 153, 165, 77, 62, 138, 3, 1.21824
269, 3, bw, practice, NA, 999, 999, 0, 3, 192, 145, 187, 105, 121, 126, 1, 1.54832
269, 3, bw, practice, NA, 999, 999, 0, 3, 192, 145, 187, 105, 121, 126, 3, 1.26023
269, 3, bw, attraction, a-b-da, 9, 1, 1, 1, 129, 57, 60, 135, 135, 60, 2, 2.50506
269, 3, bw, attraction, a-b-da, 9, 1, 1, 1, 129, 57, 60, 135, 135, 60, 1, 2.09159
269, 3, bw, catch, NA, 999, 999, 1, 2, 177, 138, 68, 127, 127, 128, 1, 1.10104
269, 3, bw, catch, NA, 999, 999, 1, 2, 177, 138, 68, 127, 127, 128, 2, 0.663911
269, 3, bw, filler, NA, 999, 999, 1, 3, 170, 124, 113, 187, 149, 161, 3, 3.15508
269, 3, bw, filler, NA, 999, 999, 1, 3, 170, 124, 113, 187, 149, 161, 1, 2.4746
269, 3, bw, filler, NA, 999, 999, 1, 4, 131, 189, 96, 86, 159, 148, 1, 1.19636
269, 3, bw, filler, NA, 999, 999, 1, 4, 131, 189, 96, 86, 159, 148, 2, 0.707441
269, 3, bw, attraction, a-b-da, 2, 3, 1, 5, 195, 120, 120, 195, 193, 119, 2, 1.24441
269, 3, bw, attraction, a-b-da, 2, 3, 1, 5, 195, 120, 120, 195, 193, 119, 1, 1.4653
269, 3, bw, attraction, a-b-da, 14, 2, 1, 6, 153, 83, 90, 165, 165, 90, 2, 2.2763
269, 3, bw, attraction, a-b-da, 14, 2, 1, 6, 153, 83, 90, 165, 165, 90, 1, 1.23155
269, 3, bw, filler, NA, 999, 999, 1, 7, 136, 118, 117, 173, 91, 62, 2, 0.979662
