sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
307, 3, bw, practice, NA, 999, 999, 0, 1, 143, 99, 177, 110, 132, 187, 3, 4.1781
307, 3, bw, practice, NA, 999, 999, 0, 1, 143, 99, 177, 110, 132, 187, 1, 3.71147
307, 3, bw, practice, NA, 999, 999, 0, 2, 195, 58, 136, 195, 138, 141, 2, 2.26969
307, 3, bw, practice, NA, 999, 999, 0, 2, 195, 58, 136, 195, 138, 141, 1, 3.02657
307, 3, bw, practice, NA, 999, 999, 0, 3, 70, 119, 167, 75, 187, 107, 3, 2.76295
307, 3, bw, practice, NA, 999, 999, 0, 3, 70, 119, 167, 75, 187, 107, 1, 1.58692
307, 3, bw, catch, NA, 999, 999, 1, 1, 63, 132, 90, 165, 181, 134, 3, 2.32454
307, 3, bw, catch, NA, 999, 999, 1, 1, 63, 132, 90, 165, 181, 134, 1, 1.58197
307, 3, bw, attraction, a-b-db, 5, 3, 1, 2, 117, 190, 195, 120, 120, 195, 2, 2.13201
307, 3, bw, attraction, a-b-db, 5, 3, 1, 2, 117, 190, 195, 120, 120, 195, 3, 4.83745
307, 3, bw, filler, NA, 999, 999, 1, 3, 63, 58, 120, 125, 66, 136, 2, 1.51239
307, 3, bw, filler, NA, 999, 999, 1, 3, 63, 58, 120, 125, 66, 136, 1, 1.07453
307, 3, bw, attraction, a-b-db, 5, 2, 1, 4, 165, 90, 90, 165, 88, 161, 3, 3.2929
307, 3, bw, attraction, a-b-db, 5, 2, 1, 4, 165, 90, 90, 165, 88, 161, 1, 3.56726
307, 3, bw, filler, NA, 999, 999, 1, 5, 111, 102, 168, 135, 80, 132, 2, 0.845416
307, 3, bw, filler, NA, 999, 999, 1, 5, 111, 102, 168, 135, 80, 132, 3, 4.1224
307, 3, bw, attraction, a-b-da, 5, 1, 1, 6, 60, 135, 135, 60, 132, 58, 1, 4.88237
307, 3, bw, attraction, a-b-da, 5, 1, 1, 6, 60, 135, 135, 60, 132, 58, 3, 2.60478
