sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
157, 3, bw, practice, NA, 999, 999, 0, 1, 132, 173, 96, 188, 95, 71, 1, 3.13941
157, 3, bw, practice, NA, 999, 999, 0, 1, 132, 173, 96, 188, 95, 71, 3, 2.09198
157, 3, bw, practice, NA, 999, 999, 0, 2, 177, 138, 117, 172, 133, 158, 1, 3.62638
157, 3, bw, practice, NA, 999, 999, 0, 2, 177, 138, 117, 172, 133, 158, 3, 1.76848
157, 3, bw, practice, NA, 999, 999, 0, 3, 187, 139, 155, 172, 131, 120, 1, 1.58569
157, 3, bw, practice, NA, 999, 999, 0, 3, 187, 139, 155, 172, 131, 120, 3, 1.20174
157, 3, bw, filler, NA, 999, 999, 1, 1, 162, 165, 175, 100, 192, 86, 1, 2.3623
157, 3, bw, filler, NA, 999, 999, 1, 1, 162, 165, 175, 100, 192, 86, 3, 0.802761
157, 3, bw, attraction, a-b-db, 5, 1, 1, 2, 58, 132, 135, 60, 60, 135, 1, 4.87189
157, 3, bw, attraction, a-b-db, 5, 1, 1, 2, 58, 132, 135, 60, 60, 135, 2, 2.0663
157, 3, bw, attraction, a-b-da, 14, 3, 1, 3, 195, 120, 120, 195, 181, 111, 2, 2.87706
157, 3, bw, attraction, a-b-da, 14, 3, 1, 3, 195, 120, 120, 195, 181, 111, 3, 2.52022
157, 3, bw, attraction, a-b-da, 14, 1, 1, 4, 125, 56, 135, 60, 60, 135, 3, 2.00851
157, 3, bw, attraction, a-b-da, 14, 1, 1, 4, 125, 56, 135, 60, 60, 135, 2, 0.902549
157, 3, bw, attraction, a-b-da, 2, 1, 1, 5, 135, 60, 60, 135, 134, 59, 3, 2.3602
157, 3, bw, attraction, a-b-da, 2, 1, 1, 5, 135, 60, 60, 135, 134, 59, 2, 1.57619
157, 3, bw, filler, NA, 999, 999, 1, 6, 190, 153, 78, 91, 95, 169, 1, 1.2304
157, 3, bw, filler, NA, 999, 999, 1, 6, 190, 153, 78, 91, 95, 169, 2, 0.907837
157, 3, bw, filler, NA, 999, 999, 1, 7, 168, 86, 97, 92, 150, 179, 3, 1.14886
157, 3, bw, filler, NA, 999, 999, 1, 7, 168, 86, 97, 92, 150, 179, 2, 0.821879
157, 3, bw, attraction, a-b-da, 5, 1, 1, 8, 135, 60, 60, 135, 132, 58, 1, 2.42673
157, 3, bw, attraction, a-b-da, 5, 1, 1, 8, 135, 60, 60, 135, 132, 58, 2, 0.720021
157, 3, bw, attraction, a-b-db, 2, 3, 1, 9, 119, 193, 195, 120, 120, 195, 3, 1.52901
157, 3, bw, attraction, a-b-db, 2, 3, 1, 9, 119, 193, 195, 120, 120, 195, 2, 0.842759
157, 3, bw, attraction, a-b-da, 9, 1, 1, 10, 129, 57, 135, 60, 60, 135, 1, 1.95023
157, 3, bw, attraction, a-b-da, 9, 1, 1, 10, 129, 57, 135, 60, 60, 135, 3, 1.271
157, 3, bw, attraction, a-b-da, 5, 3, 1, 11, 190, 117, 120, 195, 195, 120, 1, 1.00985
157, 3, bw, attraction, a-b-da, 5, 3, 1, 11, 190, 117, 120, 195, 195, 120, 3, 2.11228
157, 3, bw, attraction, a-b-db, 14, 3, 1, 12, 195, 120, 120, 195, 111, 181, 1, 1.32874
157, 3, bw, attraction, a-b-db, 14, 3, 1, 12, 195, 120, 120, 195, 111, 181, 2, 0.474277
157, 3, bw, attraction, a-b-db, 14, 2, 1, 13, 165, 90, 90, 165, 83, 153, 2, 1.22871
157, 3, bw, attraction, a-b-db, 14, 2, 1, 13, 165, 90, 90, 165, 83, 153, 1, 0.298271
157, 3, bw, catch, NA, 999, 999, 1, 14, 95, 160, 64, 131, 166, 149, 3, 0.892325
157, 3, bw, catch, NA, 999, 999, 1, 14, 95, 160, 64, 131, 166, 149, 2, 0.487295
157, 3, bw, attraction, a-b-da, 14, 2, 1, 15, 90, 165, 165, 90, 153, 83, 1, 1.82566
157, 3, bw, attraction, a-b-da, 14, 2, 1, 15, 90, 165, 165, 90, 153, 83, 3, 1.35915
157, 3, bw, filler, NA, 999, 999, 1, 16, 190, 120, 136, 93, 155, 141, 3, 1.89394
157, 3, bw, filler, NA, 999, 999, 1, 16, 190, 120, 136, 93, 155, 141, 2, 0.56073
157, 3, bw, attraction, a-b-db, 9, 3, 1, 17, 195, 120, 114, 186, 120, 195, 1, 1.71976
157, 3, bw, attraction, a-b-db, 9, 3, 1, 17, 195, 120, 114, 186, 120, 195, 2, 0.489962
157, 3, bw, filler, NA, 999, 999, 1, 18, 153, 191, 140, 100, 163, 81, 1, 0.91566
157, 3, bw, filler, NA, 999, 999, 1, 18, 153, 191, 140, 100, 163, 81, 3, 2.71802
157, 3, bw, attraction, a-b-da, 2, 2, 1, 19, 163, 89, 165, 90, 90, 165, 3, 1.02241
157, 3, bw, attraction, a-b-da, 2, 2, 1, 19, 163, 89, 165, 90, 90, 165, 1, 0.580174
157, 3, bw, filler, NA, 999, 999, 1, 20, 188, 147, 149, 180, 150, 101, 2, 1.42643
157, 3, bw, filler, NA, 999, 999, 1, 20, 188, 147, 149, 180, 150, 101, 3, 0.624111
157, 3, bw, attraction, a-b-db, 9, 2, 1, 21, 90, 165, 86, 157, 165, 90, 1, 1.24444
157, 3, bw, attraction, a-b-db, 9, 2, 1, 21, 90, 165, 86, 157, 165, 90, 2, 0.377273
157, 3, bw, attraction, a-b-da, 9, 2, 1, 22, 157, 86, 90, 165, 165, 90, 3, 1.4639
