sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
280, 3, wb, practice, NA, 999, 999, 0, 1, 75, 164, 152, 84, 92, 62, 3, 2.37691
280, 3, wb, practice, NA, 999, 999, 0, 1, 75, 164, 152, 84, 92, 62, 2, 5.05632
280, 3, wb, practice, NA, 999, 999, 0, 2, 65, 125, 109, 152, 138, 159, 1, 3.67078
280, 3, wb, practice, NA, 999, 999, 0, 2, 65, 125, 109, 152, 138, 159, 3, 1.85048
280, 3, wb, practice, NA, 999, 999, 0, 3, 153, 182, 91, 59, 142, 88, 2, 1.804
280, 3, wb, practice, NA, 999, 999, 0, 3, 153, 182, 91, 59, 142, 88, 1, 2.35441
280, 3, wb, filler, NA, 999, 999, 1, 1, 127, 154, 57, 71, 106, 152, 2, 2.48809
280, 3, wb, filler, NA, 999, 999, 1, 1, 127, 154, 57, 71, 106, 152, 1, 1.62718
280, 3, wb, attraction, a-b-da, 14, 1, 1, 2, 60, 135, 135, 60, 125, 56, 1, 3.23137
280, 3, wb, attraction, a-b-da, 14, 1, 1, 2, 60, 135, 135, 60, 125, 56, 2, 1.7483
280, 3, wb, attraction, a-b-db, 2, 2, 1, 3, 90, 165, 89, 163, 165, 90, 3, 3.58789
280, 3, wb, attraction, a-b-db, 2, 2, 1, 3, 90, 165, 89, 163, 165, 90, 1, 1.09861
280, 3, wb, attraction, a-b-da, 9, 2, 1, 4, 157, 86, 165, 90, 90, 165, 1, 2.01213
280, 3, wb, attraction, a-b-da, 9, 2, 1, 4, 157, 86, 165, 90, 90, 165, 3, 0.794235
280, 3, wb, catch, NA, 999, 999, 1, 5, 151, 104, 131, 64, 175, 140, 2, 1.47991
280, 3, wb, catch, NA, 999, 999, 1, 5, 151, 104, 131, 64, 175, 140, 3, 0.635402
280, 3, wb, filler, NA, 999, 999, 1, 6, 124, 89, 89, 140, 133, 190, 1, 1.25572
280, 3, wb, filler, NA, 999, 999, 1, 6, 124, 89, 89, 140, 133, 190, 3, 0.612035
280, 3, wb, filler, NA, 999, 999, 1, 7, 108, 102, 142, 117, 59, 101, 3, 1.24917
280, 3, wb, filler, NA, 999, 999, 1, 7, 108, 102, 142, 117, 59, 101, 2, 1.74208
280, 3, wb, attraction, a-b-da, 2, 1, 1, 8, 60, 135, 134, 59, 135, 60, 1, 1.15742
280, 3, wb, attraction, a-b-da, 2, 1, 1, 8, 60, 135, 134, 59, 135, 60, 3, 1.46171
280, 3, wb, filler, NA, 999, 999, 1, 9, 151, 64, 62, 58, 150, 148, 2, 2.28046
280, 3, wb, filler, NA, 999, 999, 1, 9, 151, 64, 62, 58, 150, 148, 3, 1.97972
280, 3, wb, attraction, a-b-da, 2, 2, 1, 10, 165, 90, 90, 165, 163, 89, 2, 1.32983
280, 3, wb, attraction, a-b-da, 2, 2, 1, 10, 165, 90, 90, 165, 163, 89, 1, 1.53941
280, 3, wb, attraction, a-b-da, 2, 3, 1, 11, 195, 120, 120, 195, 193, 119, 2, 1.77954
280, 3, wb, attraction, a-b-da, 2, 3, 1, 11, 195, 120, 120, 195, 193, 119, 3, 0.810955
280, 3, wb, catch, NA, 999, 999, 1, 12, 95, 100, 185, 130, 165, 90, 1, 0.935921
280, 3, wb, catch, NA, 999, 999, 1, 12, 95, 100, 185, 130, 165, 90, 2, 1.20962
280, 3, wb, attraction, a-b-db, 5, 3, 1, 13, 195, 120, 117, 190, 120, 195, 1, 1.24646
