sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
295, 2, bw, practice, NA, 999, 999, 0, 1, 71, 100, 104, 100, 119, 117, 3, 2.31381
295, 2, bw, practice, NA, 999, 999, 0, 1, 71, 100, 104, 100, 119, 117, 1, 4.91477
295, 2, bw, practice, NA, 999, 999, 0, 2, 111, 60, 135, 149, 71, 76, 2, 1.48164
295, 2, bw, practice, NA, 999, 999, 0, 2, 111, 60, 135, 149, 71, 76, 3, 1.86935
295, 2, bw, practice, NA, 999, 999, 0, 3, 90, 146, 71, 174, 193, 181, 3, 1.61133
295, 2, bw, practice, NA, 999, 999, 0, 3, 90, 146, 71, 174, 193, 181, 2, 0.905036
295, 2, bw, attraction, a-b-da, 14, 2, 1, 1, 153, 83, 165, 90, 90, 165, 3, 2.63646
295, 2, bw, attraction, a-b-da, 14, 2, 1, 1, 153, 83, 165, 90, 90, 165, 1, 0.937618
295, 2, bw, attraction, a-b-db, 5, 1, 1, 2, 135, 60, 58, 132, 60, 135, 3, 1.71396
295, 2, bw, attraction, a-b-db, 5, 1, 1, 2, 135, 60, 58, 132, 60, 135, 1, 0.675997
295, 2, bw, attraction, a-b-da, 9, 1, 1, 3, 129, 57, 60, 135, 135, 60, 3, 0.998362
295, 2, bw, attraction, a-b-da, 9, 1, 1, 3, 129, 57, 60, 135, 135, 60, 1, 1.20535
295, 2, bw, attraction, a-b-db, 2, 1, 1, 4, 59, 134, 60, 135, 135, 60, 1, 1.24295
295, 2, bw, attraction, a-b-db, 2, 1, 1, 4, 59, 134, 60, 135, 135, 60, 3, 0.887861
295, 2, bw, attraction, a-b-db, 9, 1, 1, 5, 60, 135, 135, 60, 57, 129, 1, 0.80217
295, 2, bw, attraction, a-b-db, 9, 1, 1, 5, 60, 135, 135, 60, 57, 129, 2, 0.433251
295, 2, bw, attraction, a-b-da, 14, 3, 1, 6, 195, 120, 120, 195, 181, 111, 1, 0.637757
