sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
251, 2, bw, practice, NA, 999, 999, 0, 1, 144, 58, 68, 79, 58, 166, 3, 3.66815
251, 2, bw, practice, NA, 999, 999, 0, 1, 144, 58, 68, 79, 58, 166, 2, 7.11031
251, 2, bw, practice, NA, 999, 999, 0, 2, 174, 191, 190, 147, 127, 92, 1, 5.02136
251, 2, bw, practice, NA, 999, 999, 0, 2, 174, 191, 190, 147, 127, 92, 3, 2.17945
251, 2, bw, practice, NA, 999, 999, 0, 3, 126, 109, 56, 60, 189, 104, 3, 3.73119
251, 2, bw, practice, NA, 999, 999, 0, 3, 126, 109, 56, 60, 189, 104, 2, 1.34654
251, 2, bw, catch, NA, 999, 999, 1, 1, 132, 183, 159, 96, 73, 122, 1, 2.73894
251, 2, bw, catch, NA, 999, 999, 1, 1, 132, 183, 159, 96, 73, 122, 3, 2.73934
251, 2, bw, attraction, a-b-db, 9, 1, 1, 2, 135, 60, 57, 129, 60, 135, 3, 9.53114
251, 2, bw, attraction, a-b-db, 9, 1, 1, 2, 135, 60, 57, 129, 60, 135, 2, 1.19403
251, 2, bw, attraction, a-b-da, 5, 3, 1, 3, 195, 120, 120, 195, 190, 117, 2, 9.2076
251, 2, bw, attraction, a-b-da, 5, 3, 1, 3, 195, 120, 120, 195, 190, 117, 3, 1.45148
251, 2, bw, catch, NA, 999, 999, 1, 4, 129, 186, 94, 101, 145, 110, 1, 1.88684
251, 2, bw, catch, NA, 999, 999, 1, 4, 129, 186, 94, 101, 145, 110, 2, 1.10627
251, 2, bw, filler, NA, 999, 999, 1, 5, 181, 77, 105, 139, 93, 64, 2, 4.37117
251, 2, bw, filler, NA, 999, 999, 1, 5, 181, 77, 105, 139, 93, 64, 3, 3.08246
251, 2, bw, filler, NA, 999, 999, 1, 6, 132, 133, 63, 130, 156, 116, 1, 11.4922
251, 2, bw, filler, NA, 999, 999, 1, 6, 132, 133, 63, 130, 156, 116, 2, 0.907713
251, 2, bw, filler, NA, 999, 999, 1, 7, 150, 79, 99, 137, 147, 139, 3, 1.37285
251, 2, bw, filler, NA, 999, 999, 1, 7, 150, 79, 99, 137, 147, 139, 1, 4.96435
251, 2, bw, attraction, a-b-da, 2, 1, 1, 8, 134, 59, 135, 60, 60, 135, 1, 9.85004
251, 2, bw, attraction, a-b-da, 2, 1, 1, 8, 134, 59, 135, 60, 60, 135, 2, 1.7723
251, 2, bw, attraction, a-b-db, 9, 2, 1, 9, 165, 90, 86, 157, 90, 165, 1, 13.291
251, 2, bw, attraction, a-b-db, 9, 2, 1, 9, 165, 90, 86, 157, 90, 165, 3, 1.7788
251, 2, bw, attraction, a-b-db, 2, 1, 1, 10, 135, 60, 59, 134, 60, 135, 2, 2.27292
251, 2, bw, attraction, a-b-db, 2, 1, 1, 10, 135, 60, 59, 134, 60, 135, 1, 1.12425
251, 2, bw, attraction, a-b-db, 2, 2, 1, 11, 89, 163, 165, 90, 90, 165, 3, 12.9725
251, 2, bw, attraction, a-b-db, 2, 2, 1, 11, 89, 163, 165, 90, 90, 165, 2, 2.07311
251, 2, bw, attraction, a-b-da, 14, 1, 1, 12, 135, 60, 60, 135, 125, 56, 2, 2.91507
251, 2, bw, attraction, a-b-da, 14, 1, 1, 12, 135, 60, 60, 135, 125, 56, 3, 1.16471
251, 2, bw, filler, NA, 999, 999, 1, 13, 92, 120, 169, 86, 109, 91, 2, 2.61952
251, 2, bw, filler, NA, 999, 999, 1, 13, 92, 120, 169, 86, 109, 91, 3, 1.36138
251, 2, bw, attraction, a-b-da, 2, 2, 1, 14, 90, 165, 163, 89, 165, 90, 1, 9.44018
251, 2, bw, attraction, a-b-da, 2, 2, 1, 14, 90, 165, 163, 89, 165, 90, 2, 1.90737
251, 2, bw, attraction, a-b-da, 9, 3, 1, 15, 186, 114, 120, 195, 195, 120, 2, 2.92399
251, 2, bw, attraction, a-b-da, 9, 3, 1, 15, 186, 114, 120, 195, 195, 120, 1, 0.812938
251, 2, bw, attraction, a-b-db, 14, 1, 1, 16, 56, 125, 135, 60, 60, 135, 3, 2.35398
251, 2, bw, attraction, a-b-db, 14, 1, 1, 16, 56, 125, 135, 60, 60, 135, 1, 1.82666
251, 2, bw, attraction, a-b-da, 5, 2, 1, 17, 165, 90, 161, 88, 90, 165, 3, 9.2387
251, 2, bw, attraction, a-b-da, 5, 2, 1, 17, 165, 90, 161, 88, 90, 165, 2, 3.87369
251, 2, bw, attraction, a-b-da, 14, 3, 1, 18, 120, 195, 195, 120, 181, 111, 1, 3.25183
