sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
357\, 2, wb, practice, NA, 999, 999, 0, 1, 131, 68, 162, 183, 152, 89, 1, 2.53834
357\, 2, wb, practice, NA, 999, 999, 0, 1, 131, 68, 162, 183, 152, 89, 2, 1.83834
357\, 2, wb, practice, NA, 999, 999, 0, 2, 186, 158, 113, 130, 62, 56, 3, 2.05369
357\, 2, wb, practice, NA, 999, 999, 0, 2, 186, 158, 113, 130, 62, 56, 1, 1.41178
357\, 2, wb, practice, NA, 999, 999, 0, 3, 117, 94, 159, 150, 107, 93, 3, 3.57235
357\, 2, wb, practice, NA, 999, 999, 0, 3, 117, 94, 159, 150, 107, 93, 2, 0.946027
357\, 2, wb, attraction, a-b-da, 14, 2, 1, 1, 165, 90, 153, 83, 90, 165, 2, 4.25592
357\, 2, wb, attraction, a-b-da, 14, 2, 1, 1, 165, 90, 153, 83, 90, 165, 3, 2.65925
357\, 2, wb, attraction, a-b-db, 5, 3, 1, 2, 117, 190, 195, 120, 120, 195, 2, 5.71769
357\, 2, wb, attraction, a-b-db, 5, 3, 1, 2, 117, 190, 195, 120, 120, 195, 3, 2.17471
357\, 2, wb, attraction, a-b-da, 5, 1, 1, 3, 132, 58, 135, 60, 60, 135, 2, 2.59653
357\, 2, wb, attraction, a-b-da, 5, 1, 1, 3, 132, 58, 135, 60, 60, 135, 1, 1.89096
357\, 2, wb, attraction, a-b-db, 9, 2, 1, 4, 90, 165, 86, 157, 165, 90, 2, 2.95627
357\, 2, wb, attraction, a-b-db, 9, 2, 1, 4, 90, 165, 86, 157, 165, 90, 3, 0.500043
357\, 2, wb, filler, NA, 999, 999, 1, 5, 123, 79, 138, 168, 131, 78, 1, 1.78178
357\, 2, wb, filler, NA, 999, 999, 1, 5, 123, 79, 138, 168, 131, 78, 2, 0.41323
357\, 2, wb, attraction, a-b-da, 2, 1, 1, 6, 134, 59, 135, 60, 60, 135, 2, 3.09035
357\, 2, wb, attraction, a-b-da, 2, 1, 1, 6, 134, 59, 135, 60, 60, 135, 3, 0.796698
357\, 2, wb, attraction, a-b-da, 9, 1, 1, 7, 135, 60, 129, 57, 60, 135, 2, 1.33839
357\, 2, wb, attraction, a-b-da, 9, 1, 1, 7, 135, 60, 129, 57, 60, 135, 3, 1.27534
357\, 2, wb, attraction, a-b-db, 5, 2, 1, 8, 165, 90, 88, 161, 90, 165, 1, 3.8615
357\, 2, wb, attraction, a-b-db, 5, 2, 1, 8, 165, 90, 88, 161, 90, 165, 3, 0.400995
357\, 2, wb, attraction, a-b-da, 9, 3, 1, 9, 120, 195, 186, 114, 195, 120, 2, 3.18271
357\, 2, wb, attraction, a-b-da, 9, 3, 1, 9, 120, 195, 186, 114, 195, 120, 1, 0.373708
357\, 2, wb, attraction, a-b-db, 2, 2, 1, 10, 90, 165, 165, 90, 89, 163, 3, 2.62022
357\, 2, wb, attraction, a-b-db, 2, 2, 1, 10, 90, 165, 165, 90, 89, 163, 1, 0.602066
357\, 2, wb, attraction, a-b-db, 2, 1, 1, 11, 135, 60, 60, 135, 59, 134, 3, 5.29581
357\, 2, wb, attraction, a-b-db, 2, 1, 1, 11, 135, 60, 60, 135, 59, 134, 2, 0.769433
357\, 2, wb, filler, NA, 999, 999, 1, 12, 64, 97, 77, 97, 195, 98, 1, 1.75252
357\, 2, wb, filler, NA, 999, 999, 1, 12, 64, 97, 77, 97, 195, 98, 3, 0.777201
357\, 2, wb, attraction, a-b-db, 14, 1, 1, 13, 135, 60, 56, 125, 60, 135, 2, 2.45561
357\, 2, wb, attraction, a-b-db, 14, 1, 1, 13, 135, 60, 56, 125, 60, 135, 3, 1.19553
357\, 2, wb, filler, NA, 999, 999, 1, 14, 162, 160, 119, 106, 190, 77, 3, 2.6172
357\, 2, wb, filler, NA, 999, 999, 1, 14, 162, 160, 119, 106, 190, 77, 1, 0.862836
357\, 2, wb, attraction, a-b-db, 14, 2, 1, 15, 83, 153, 165, 90, 90, 165, 1, 1.72985
357\, 2, wb, attraction, a-b-db, 14, 2, 1, 15, 83, 153, 165, 90, 90, 165, 3, 1.17131
357\, 2, wb, filler, NA, 999, 999, 1, 16, 59, 131, 188, 91, 174, 124, 1, 0.858118
357\, 2, wb, filler, NA, 999, 999, 1, 16, 59, 131, 188, 91, 174, 124, 3, 0.494553
357\, 2, wb, filler, NA, 999, 999, 1, 17, 128, 89, 68, 122, 188, 70, 2, 1.35234
357\, 2, wb, filler, NA, 999, 999, 1, 17, 128, 89, 68, 122, 188, 70, 3, 3.56922
357\, 2, wb, filler, NA, 999, 999, 1, 18, 56, 96, 96, 66, 168, 100, 1, 1.69552
357\, 2, wb, filler, NA, 999, 999, 1, 18, 56, 96, 96, 66, 168, 100, 3, 0.61015
357\, 2, wb, attraction, a-b-da, 5, 2, 1, 19, 165, 90, 161, 88, 90, 165, 3, 4.19124
357\, 2, wb, attraction, a-b-da, 5, 2, 1, 19, 165, 90, 161, 88, 90, 165, 2, 1.34921
357\, 2, wb, attraction, a-b-da, 9, 2, 1, 20, 90, 165, 157, 86, 165, 90, 2, 1.37281
357\, 2, wb, attraction, a-b-da, 9, 2, 1, 20, 90, 165, 157, 86, 165, 90, 1, 1.22034
357\, 2, wb, attraction, a-b-db, 14, 3, 1, 21, 120, 195, 195, 120, 111, 181, 1, 0.705273
357\, 2, wb, attraction, a-b-db, 14, 3, 1, 21, 120, 195, 195, 120, 111, 181, 2, 1.66772
357\, 2, wb, attraction, a-b-da, 5, 3, 1, 22, 120, 195, 190, 117, 195, 120, 2, 2.90239
357\, 2, wb, attraction, a-b-da, 5, 3, 1, 22, 120, 195, 190, 117, 195, 120, 1, 0.72079
357\, 2, wb, filler, NA, 999, 999, 1, 23, 171, 116, 80, 111, 107, 81, 3, 1.75394
357\, 2, wb, filler, NA, 999, 999, 1, 23, 171, 116, 80, 111, 107, 81, 1, 0.610656
357\, 2, wb, filler, NA, 999, 999, 1, 24, 117, 134, 149, 60, 156, 87, 2, 1.2157
357\, 2, wb, filler, NA, 999, 999, 1, 24, 117, 134, 149, 60, 156, 87, 1, 0.518065
357\, 2, wb, catch, NA, 999, 999, 1, 25, 121, 134, 187, 128, 108, 87, 3, 1.74304
357\, 2, wb, catch, NA, 999, 999, 1, 25, 121, 134, 187, 128, 108, 87, 2, 0.407869
357\, 2, wb, filler, NA, 999, 999, 1, 26, 74, 65, 158, 185, 132, 70, 1, 1.07695
357\, 2, wb, filler, NA, 999, 999, 1, 26, 74, 65, 158, 185, 132, 70, 2, 0.432593
357\, 2, wb, attraction, a-b-da, 2, 2, 1, 27, 90, 165, 165, 90, 163, 89, 2, 2.78113
357\, 2, wb, attraction, a-b-da, 2, 2, 1, 27, 90, 165, 165, 90, 163, 89, 1, 0.404117
357\, 2, wb, attraction, a-b-db, 9, 1, 1, 28, 135, 60, 57, 129, 60, 135, 2, 1.42597
357\, 2, wb, attraction, a-b-db, 9, 1, 1, 28, 135, 60, 57, 129, 60, 135, 3, 0.887505
357\, 2, wb, catch, NA, 999, 999, 1, 29, 134, 61, 110, 145, 164, 151, 1, 1.46583
357\, 2, wb, catch, NA, 999, 999, 1, 29, 134, 61, 110, 145, 164, 151, 3, 1.65418
357\, 2, wb, catch, NA, 999, 999, 1, 30, 134, 61, 160, 155, 104, 151, 1, 1.12941
357\, 2, wb, catch, NA, 999, 999, 1, 30, 134, 61, 160, 155, 104, 151, 2, 0.731229
357\, 2, wb, filler, NA, 999, 999, 1, 31, 185, 106, 185, 148, 122, 100, 3, 0.939396
357\, 2, wb, filler, NA, 999, 999, 1, 31, 185, 106, 185, 148, 122, 100, 2, 0.436472
357\, 2, wb, attraction, a-b-db, 5, 1, 1, 32, 58, 132, 135, 60, 60, 135, 2, 2.28893
357\, 2, wb, attraction, a-b-db, 5, 1, 1, 32, 58, 132, 135, 60, 60, 135, 1, 0.73156
357\, 2, wb, attraction, a-b-da, 2, 3, 1, 33, 193, 119, 195, 120, 120, 195, 2, 2.15601
357\, 2, wb, attraction, a-b-da, 2, 3, 1, 33, 193, 119, 195, 120, 120, 195, 3, 0.747936
357\, 2, wb, attraction, a-b-da, 14, 3, 1, 34, 120, 195, 181, 111, 195, 120, 2, 1.23559
357\, 2, wb, attraction, a-b-da, 14, 3, 1, 34, 120, 195, 181, 111, 195, 120, 1, 0.801143
357\, 2, wb, attraction, a-b-da, 14, 1, 1, 35, 60, 135, 135, 60, 125, 56, 3, 2.24706
357\, 2, wb, attraction, a-b-da, 14, 1, 1, 35, 60, 135, 135, 60, 125, 56, 1, 0.547541
357\, 2, wb, attraction, a-b-db, 9, 3, 1, 36, 195, 120, 114, 186, 120, 195, 2, 3.6992
357\, 2, wb, attraction, a-b-db, 9, 3, 1, 36, 195, 120, 114, 186, 120, 195, 3, 0.597398
357\, 2, wb, attraction, a-b-db, 2, 3, 1, 37, 119, 193, 120, 195, 195, 120, 1, 1.59528
357\, 2, wb, attraction, a-b-db, 2, 3, 1, 37, 119, 193, 120, 195, 195, 120, 3, 0.586074
357\, 2, wb, catch, NA, 999, 999, 2, 1, 184, 131, 67, 128, 127, 128, 2, 0.880406
357\, 2, wb, catch, NA, 999, 999, 2, 1, 184, 131, 67, 128, 127, 128, 1, 0.484089
357\, 2, wb, attraction, a-b-da, 14, 3, 2, 2, 120, 195, 181, 111, 195, 120, 2, 2.8546
357\, 2, wb, attraction, a-b-da, 14, 3, 2, 2, 120, 195, 181, 111, 195, 120, 1, 0.410289
357\, 2, wb, attraction, a-b-da, 14, 1, 2, 3, 60, 135, 135, 60, 125, 56, 2, 1.05549
357\, 2, wb, attraction, a-b-da, 14, 1, 2, 3, 60, 135, 135, 60, 125, 56, 3, 0.603828
357\, 2, wb, attraction, a-b-da, 5, 3, 2, 4, 195, 120, 190, 117, 120, 195, 2, 3.80154
357\, 2, wb, attraction, a-b-da, 5, 3, 2, 4, 195, 120, 190, 117, 120, 195, 3, 0.53562
357\, 2, wb, attraction, a-b-da, 2, 1, 2, 5, 135, 60, 134, 59, 60, 135, 3, 0.984106
357\, 2, wb, attraction, a-b-da, 2, 1, 2, 5, 135, 60, 134, 59, 60, 135, 1, 0.591676
