sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
213, 2, bw, practice, NA, 999, 999, 0, 1, 157, 142, 186, 70, 178, 101, 1, 3.39681
213, 2, bw, practice, NA, 999, 999, 0, 1, 157, 142, 186, 70, 178, 101, 2, 2.04301
213, 2, bw, practice, NA, 999, 999, 0, 2, 142, 162, 114, 99, 151, 165, 3, 3.8988
213, 2, bw, practice, NA, 999, 999, 0, 2, 142, 162, 114, 99, 151, 165, 2, 2.51654
213, 2, bw, practice, NA, 999, 999, 0, 3, 116, 59, 70, 142, 177, 187, 3, 2.12911
213, 2, bw, practice, NA, 999, 999, 0, 3, 116, 59, 70, 142, 177, 187, 1, 1.37927
213, 2, bw, filler, NA, 999, 999, 1, 1, 99, 82, 110, 174, 143, 172, 3, 2.02037
213, 2, bw, filler, NA, 999, 999, 1, 1, 99, 82, 110, 174, 143, 172, 1, 2.53853
213, 2, bw, filler, NA, 999, 999, 1, 2, 62, 101, 86, 183, 150, 154, 3, 1.39422
213, 2, bw, filler, NA, 999, 999, 1, 2, 62, 101, 86, 183, 150, 154, 1, 2.60904
213, 2, bw, attraction, a-b-db, 2, 3, 1, 3, 119, 193, 195, 120, 120, 195, 3, 4.63759
213, 2, bw, attraction, a-b-db, 2, 3, 1, 3, 119, 193, 195, 120, 120, 195, 2, 1.42615
213, 2, bw, attraction, a-b-db, 14, 3, 1, 4, 195, 120, 111, 181, 120, 195, 3, 3.15027
213, 2, bw, attraction, a-b-db, 14, 3, 1, 4, 195, 120, 111, 181, 120, 195, 2, 0.878517
213, 2, bw, filler, NA, 999, 999, 1, 5, 133, 176, 92, 89, 93, 76, 1, 1.38495
213, 2, bw, filler, NA, 999, 999, 1, 5, 133, 176, 92, 89, 93, 76, 3, 1.40848
213, 2, bw, catch, NA, 999, 999, 1, 6, 146, 169, 98, 97, 131, 124, 1, 1.64525
213, 2, bw, catch, NA, 999, 999, 1, 6, 146, 169, 98, 97, 131, 124, 2, 1.65812
213, 2, bw, attraction, a-b-da, 14, 3, 1, 7, 120, 195, 195, 120, 181, 111, 1, 3.34885
213, 2, bw, attraction, a-b-da, 14, 3, 1, 7, 120, 195, 195, 120, 181, 111, 3, 0.973088
213, 2, bw, attraction, a-b-db, 9, 1, 1, 8, 135, 60, 60, 135, 57, 129, 2, 2.33136
213, 2, bw, attraction, a-b-db, 9, 1, 1, 8, 135, 60, 60, 135, 57, 129, 3, 1.36464
213, 2, bw, filler, NA, 999, 999, 1, 9, 184, 139, 165, 157, 120, 112, 2, 1.60346
213, 2, bw, filler, NA, 999, 999, 1, 9, 184, 139, 165, 157, 120, 112, 3, 1.75426
213, 2, bw, attraction, a-b-db, 14, 2, 1, 10, 90, 165, 165, 90, 83, 153, 1, 1.68172
213, 2, bw, attraction, a-b-db, 14, 2, 1, 10, 90, 165, 165, 90, 83, 153, 3, 1.47723
213, 2, bw, attraction, a-b-da, 9, 3, 1, 11, 120, 195, 186, 114, 195, 120, 1, 3.78332
213, 2, bw, attraction, a-b-da, 9, 3, 1, 11, 120, 195, 186, 114, 195, 120, 2, 1.56612
213, 2, bw, attraction, a-b-da, 5, 3, 1, 12, 190, 117, 195, 120, 120, 195, 3, 2.11681
213, 2, bw, attraction, a-b-da, 5, 3, 1, 12, 190, 117, 195, 120, 120, 195, 1, 1.44684
213, 2, bw, attraction, a-b-db, 2, 2, 1, 13, 90, 165, 165, 90, 89, 163, 1, 3.0183
213, 2, bw, attraction, a-b-db, 2, 2, 1, 13, 90, 165, 165, 90, 89, 163, 2, 1.17612
213, 2, bw, filler, NA, 999, 999, 1, 14, 84, 97, 184, 171, 149, 132, 2, 2.09429
213, 2, bw, filler, NA, 999, 999, 1, 14, 84, 97, 184, 171, 149, 132, 1, 1.22491
213, 2, bw, attraction, a-b-da, 9, 1, 1, 15, 135, 60, 60, 135, 129, 57, 2, 3.36521
213, 2, bw, attraction, a-b-da, 9, 1, 1, 15, 135, 60, 60, 135, 129, 57, 3, 0.97269
213, 2, bw, filler, NA, 999, 999, 1, 16, 174, 185, 71, 115, 101, 110, 1, 0.835793
213, 2, bw, filler, NA, 999, 999, 1, 16, 174, 185, 71, 115, 101, 110, 2, 1.58542
213, 2, bw, attraction, a-b-da, 2, 1, 1, 17, 134, 59, 60, 135, 135, 60, 2, 3.91956
213, 2, bw, attraction, a-b-da, 2, 1, 1, 17, 134, 59, 60, 135, 135, 60, 1, 1.19291
213, 2, bw, attraction, a-b-da, 14, 2, 1, 18, 153, 83, 90, 165, 165, 90, 2, 9.6545
213, 2, bw, attraction, a-b-da, 14, 2, 1, 18, 153, 83, 90, 165, 165, 90, 1, 1.40082
213, 2, bw, attraction, a-b-db, 9, 2, 1, 19, 165, 90, 90, 165, 86, 157, 2, 4.73445
213, 2, bw, attraction, a-b-db, 9, 2, 1, 19, 165, 90, 90, 165, 86, 157, 3, 1.71091
213, 2, bw, attraction, a-b-db, 5, 2, 1, 20, 165, 90, 88, 161, 90, 165, 3, 3.28762
213, 2, bw, attraction, a-b-db, 5, 2, 1, 20, 165, 90, 88, 161, 90, 165, 1, 1.90585
213, 2, bw, attraction, a-b-da, 9, 2, 1, 21, 165, 90, 157, 86, 90, 165, 1, 2.11515
213, 2, bw, attraction, a-b-da, 9, 2, 1, 21, 165, 90, 157, 86, 90, 165, 2, 0.661277
213, 2, bw, attraction, a-b-da, 5, 2, 1, 22, 90, 165, 161, 88, 165, 90, 1, 3.12028
213, 2, bw, attraction, a-b-da, 5, 2, 1, 22, 90, 165, 161, 88, 165, 90, 2, 1.57787
213, 2, bw, filler, NA, 999, 999, 1, 23, 102, 168, 113, 171, 103, 164, 2, 1.25602
213, 2, bw, filler, NA, 999, 999, 1, 23, 102, 168, 113, 171, 103, 164, 1, 1.78821
213, 2, bw, attraction, a-b-da, 5, 1, 1, 24, 132, 58, 60, 135, 135, 60, 2, 3.20245
213, 2, bw, attraction, a-b-da, 5, 1, 1, 24, 132, 58, 60, 135, 135, 60, 1, 2.38467
213, 2, bw, attraction, a-b-db, 9, 3, 1, 25, 120, 195, 195, 120, 114, 186, 2, 3.94252
213, 2, bw, attraction, a-b-db, 9, 3, 1, 25, 120, 195, 195, 120, 114, 186, 3, 0.718529
213, 2, bw, attraction, a-b-db, 14, 1, 1, 26, 135, 60, 56, 125, 60, 135, 2, 2.23157
213, 2, bw, attraction, a-b-db, 14, 1, 1, 26, 135, 60, 56, 125, 60, 135, 1, 0.716856
213, 2, bw, attraction, a-b-db, 2, 1, 1, 27, 59, 134, 135, 60, 60, 135, 3, 1.82196
213, 2, bw, attraction, a-b-db, 2, 1, 1, 27, 59, 134, 135, 60, 60, 135, 2, 2.12331
213, 2, bw, catch, NA, 999, 999, 1, 28, 146, 109, 82, 113, 146, 169, 3, 1.06728
213, 2, bw, catch, NA, 999, 999, 1, 28, 146, 109, 82, 113, 146, 169, 2, 0.887545
213, 2, bw, attraction, a-b-da, 2, 3, 1, 29, 195, 120, 193, 119, 120, 195, 3, 2.60993
213, 2, bw, attraction, a-b-da, 2, 3, 1, 29, 195, 120, 193, 119, 120, 195, 2, 0.535721
213, 2, bw, attraction, a-b-da, 14, 1, 1, 30, 135, 60, 125, 56, 60, 135, 3, 2.57617
213, 2, bw, attraction, a-b-da, 14, 1, 1, 30, 135, 60, 125, 56, 60, 135, 2, 1.20739
213, 2, bw, attraction, a-b-da, 2, 2, 1, 31, 165, 90, 163, 89, 90, 165, 1, 3.92426
213, 2, bw, attraction, a-b-da, 2, 2, 1, 31, 165, 90, 163, 89, 90, 165, 2, 0.636922
213, 2, bw, attraction, a-b-db, 5, 3, 1, 32, 117, 190, 120, 195, 195, 120, 2, 2.56138
213, 2, bw, attraction, a-b-db, 5, 3, 1, 32, 117, 190, 120, 195, 195, 120, 3, 1.00138
213, 2, bw, filler, NA, 999, 999, 1, 33, 132, 142, 114, 117, 154, 162, 3, 1.9588
213, 2, bw, filler, NA, 999, 999, 1, 33, 132, 142, 114, 117, 154, 162, 2, 0.806849
213, 2, bw, attraction, a-b-db, 5, 1, 1, 34, 60, 135, 58, 132, 135, 60, 1, 2.59596
213, 2, bw, attraction, a-b-db, 5, 1, 1, 34, 60, 135, 58, 132, 135, 60, 3, 0.802455
213, 2, bw, catch, NA, 999, 999, 1, 35, 106, 89, 186, 129, 161, 94, 2, 1.04014
213, 2, bw, catch, NA, 999, 999, 1, 35, 106, 89, 186, 129, 161, 94, 1, 1.30905
213, 2, bw, filler, NA, 999, 999, 1, 36, 170, 100, 180, 170, 156, 136, 2, 0.966093
213, 2, bw, filler, NA, 999, 999, 1, 36, 170, 100, 180, 170, 156, 136, 1, 0.902302
213, 2, bw, filler, NA, 999, 999, 1, 37, 150, 137, 155, 132, 151, 102, 1, 2.16795
