sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
29, 2, bw, practice, NA, 999, 999, 0, 1, 115, 106, 121, 147, 63, 103, 2, 3.65895
29, 2, bw, practice, NA, 999, 999, 0, 1, 115, 106, 121, 147, 63, 103, 3, 2.9204
29, 2, bw, practice, NA, 999, 999, 0, 2, 116, 160, 162, 149, 193, 169, 3, 2.87027
29, 2, bw, practice, NA, 999, 999, 0, 2, 116, 160, 162, 149, 193, 169, 1, 2.60699
29, 2, bw, practice, NA, 999, 999, 0, 3, 78, 58, 75, 174, 127, 94, 2, 6.66447
29, 2, bw, practice, NA, 999, 999, 0, 3, 78, 58, 75, 174, 127, 94, 1, 2.45322
29, 2, bw, attraction, a-b-db, 2, 3, 1, 1, 119, 193, 195, 120, 120, 195, 3, 6.39612
29, 2, bw, attraction, a-b-db, 2, 3, 1, 1, 119, 193, 195, 120, 120, 195, 2, 2.55334
29, 2, bw, filler, NA, 999, 999, 1, 2, 90, 57, 128, 141, 58, 153, 2, 1.69663
29, 2, bw, filler, NA, 999, 999, 1, 2, 90, 57, 128, 141, 58, 153, 1, 1.29126
29, 2, bw, catch, NA, 999, 999, 1, 3, 135, 60, 133, 122, 166, 149, 3, 1.66086
29, 2, bw, catch, NA, 999, 999, 1, 3, 135, 60, 133, 122, 166, 149, 1, 1.20905
29, 2, bw, attraction, a-b-da, 2, 2, 1, 4, 90, 165, 163, 89, 165, 90, 1, 3.59787
29, 2, bw, attraction, a-b-da, 2, 2, 1, 4, 90, 165, 163, 89, 165, 90, 2, 1.22815
29, 2, bw, attraction, a-b-da, 14, 2, 1, 5, 90, 165, 165, 90, 153, 83, 1, 2.92038
29, 2, bw, attraction, a-b-da, 14, 2, 1, 5, 90, 165, 165, 90, 153, 83, 3, 1.25736
29, 2, bw, attraction, a-b-db, 2, 1, 1, 6, 59, 134, 60, 135, 135, 60, 2, 2.57222
29, 2, bw, attraction, a-b-db, 2, 1, 1, 6, 59, 134, 60, 135, 135, 60, 1, 3.30732
29, 2, bw, filler, NA, 999, 999, 1, 7, 96, 119, 86, 144, 126, 162, 3, 1.37954
29, 2, bw, filler, NA, 999, 999, 1, 7, 96, 119, 86, 144, 126, 162, 1, 1.39515
29, 2, bw, attraction, a-b-da, 2, 3, 1, 8, 193, 119, 120, 195, 195, 120, 2, 2.63259
29, 2, bw, attraction, a-b-da, 2, 3, 1, 8, 193, 119, 120, 195, 195, 120, 1, 1.35775
29, 2, bw, attraction, a-b-da, 14, 3, 1, 9, 120, 195, 181, 111, 195, 120, 1, 5.01262
29, 2, bw, attraction, a-b-da, 14, 3, 1, 9, 120, 195, 181, 111, 195, 120, 2, 0.769727
29, 2, bw, attraction, a-b-da, 2, 1, 1, 10, 135, 60, 60, 135, 134, 59, 2, 3.03284
29, 2, bw, attraction, a-b-da, 2, 1, 1, 10, 135, 60, 60, 135, 134, 59, 1, 2.54976
29, 2, bw, filler, NA, 999, 999, 1, 11, 118, 189, 187, 156, 192, 153, 2, 2.25289
29, 2, bw, filler, NA, 999, 999, 1, 11, 118, 189, 187, 156, 192, 153, 1, 1.80155
29, 2, bw, attraction, a-b-da, 9, 2, 1, 12, 165, 90, 157, 86, 90, 165, 1, 6.20689
29, 2, bw, attraction, a-b-da, 9, 2, 1, 12, 165, 90, 157, 86, 90, 165, 2, 3.69958
