sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
95, 2, bw, practice, NA, 999, 999, 0, 1, 171, 139, 130, 161, 194, 138, 3, 4.42826
95, 2, bw, practice, NA, 999, 999, 0, 1, 171, 139, 130, 161, 194, 138, 2, 5.48055
95, 2, bw, practice, NA, 999, 999, 0, 2, 163, 74, 174, 193, 127, 102, 2, 2.24447
95, 2, bw, practice, NA, 999, 999, 0, 2, 163, 74, 174, 193, 127, 102, 1, 6.15564
95, 2, bw, practice, NA, 999, 999, 0, 3, 155, 185, 95, 156, 84, 104, 1, 1.85438
95, 2, bw, practice, NA, 999, 999, 0, 3, 155, 185, 95, 156, 84, 104, 3, 1.43346
95, 2, bw, attraction, a-b-db, 14, 2, 1, 1, 165, 90, 90, 165, 83, 153, 2, 21.2455
95, 2, bw, attraction, a-b-db, 14, 2, 1, 1, 165, 90, 90, 165, 83, 153, 3, 3.77219
95, 2, bw, attraction, a-b-db, 9, 2, 1, 2, 86, 157, 165, 90, 90, 165, 3, 34.8502
95, 2, bw, attraction, a-b-db, 9, 2, 1, 2, 86, 157, 165, 90, 90, 165, 1, 1.0766
95, 2, bw, attraction, a-b-db, 2, 1, 1, 3, 60, 135, 135, 60, 59, 134, 3, 32.7029
95, 2, bw, attraction, a-b-db, 2, 1, 1, 3, 60, 135, 135, 60, 59, 134, 2, 0.799981
95, 2, bw, filler, NA, 999, 999, 1, 4, 183, 144, 119, 157, 132, 93, 1, 3.91772
95, 2, bw, filler, NA, 999, 999, 1, 4, 183, 144, 119, 157, 132, 93, 3, 1.19118
95, 2, bw, attraction, a-b-db, 2, 3, 1, 5, 120, 195, 119, 193, 195, 120, 1, 25.3887
95, 2, bw, attraction, a-b-db, 2, 3, 1, 5, 120, 195, 119, 193, 195, 120, 3, 0.668699
95, 2, bw, catch, NA, 999, 999, 1, 6, 132, 123, 152, 163, 96, 99, 2, 2.83184
95, 2, bw, catch, NA, 999, 999, 1, 6, 132, 123, 152, 163, 96, 99, 3, 0.90902
95, 2, bw, filler, NA, 999, 999, 1, 7, 115, 81, 98, 102, 123, 64, 2, 25.7898
95, 2, bw, filler, NA, 999, 999, 1, 7, 115, 81, 98, 102, 123, 64, 3, 9.34183
95, 2, bw, attraction, a-b-da, 2, 2, 1, 8, 90, 165, 163, 89, 165, 90, 1, 6.26746
95, 2, bw, attraction, a-b-da, 2, 2, 1, 8, 90, 165, 163, 89, 165, 90, 2, 5.51815
95, 2, bw, filler, NA, 999, 999, 1, 9, 68, 153, 148, 71, 78, 136, 3, 14.7898
95, 2, bw, filler, NA, 999, 999, 1, 9, 68, 153, 148, 71, 78, 136, 1, 0.825167
95, 2, bw, filler, NA, 999, 999, 1, 10, 97, 126, 195, 152, 102, 195, 2, 2.66136
95, 2, bw, filler, NA, 999, 999, 1, 10, 97, 126, 195, 152, 102, 195, 1, 0.809263
95, 2, bw, attraction, a-b-da, 5, 2, 1, 11, 161, 88, 90, 165, 165, 90, 2, 16.9503
95, 2, bw, attraction, a-b-da, 5, 2, 1, 11, 161, 88, 90, 165, 165, 90, 1, 0.72227
95, 2, bw, filler, NA, 999, 999, 1, 12, 184, 119, 161, 186, 183, 192, 3, 5.28347
95, 2, bw, filler, NA, 999, 999, 1, 12, 184, 119, 161, 186, 183, 192, 1, 0.789702
95, 2, bw, filler, NA, 999, 999, 1, 13, 124, 188, 127, 157, 59, 89, 1, 1.69139
95, 2, bw, filler, NA, 999, 999, 1, 13, 124, 188, 127, 157, 59, 89, 3, 0.694139
95, 2, bw, attraction, a-b-db, 14, 1, 1, 14, 135, 60, 56, 125, 60, 135, 3, 37.024
95, 2, bw, attraction, a-b-db, 14, 1, 1, 14, 135, 60, 56, 125, 60, 135, 2, 0.618946
95, 2, bw, filler, NA, 999, 999, 1, 15, 171, 109, 161, 139, 70, 97, 2, 2.01602
95, 2, bw, filler, NA, 999, 999, 1, 15, 171, 109, 161, 139, 70, 97, 3, 1.534
95, 2, bw, catch, NA, 999, 999, 1, 16, 113, 142, 105, 90, 120, 195, 3, 1.40612
95, 2, bw, catch, NA, 999, 999, 1, 16, 113, 142, 105, 90, 120, 195, 2, 1.0445
95, 2, bw, filler, NA, 999, 999, 1, 17, 184, 84, 156, 186, 89, 79, 2, 5.4241
95, 2, bw, filler, NA, 999, 999, 1, 17, 184, 84, 156, 186, 89, 79, 3, 1.03624
95, 2, bw, filler, NA, 999, 999, 1, 18, 83, 111, 178, 185, 140, 117, 2, 2.85645
95, 2, bw, filler, NA, 999, 999, 1, 18, 83, 111, 178, 185, 140, 117, 1, 0.732193
95, 2, bw, attraction, a-b-da, 14, 3, 1, 19, 181, 111, 120, 195, 195, 120, 3, 51.4926
95, 2, bw, attraction, a-b-da, 14, 3, 1, 19, 181, 111, 120, 195, 195, 120, 1, 1.12855
95, 2, bw, attraction, a-b-db, 9, 1, 1, 20, 57, 129, 135, 60, 60, 135, 3, 22.0408
95, 2, bw, attraction, a-b-db, 9, 1, 1, 20, 57, 129, 135, 60, 60, 135, 1, 0.719946
95, 2, bw, filler, NA, 999, 999, 1, 21, 121, 180, 85, 72, 142, 74, 1, 1.7289
95, 2, bw, filler, NA, 999, 999, 1, 21, 121, 180, 85, 72, 142, 74, 2, 1.1303
95, 2, bw, attraction, a-b-db, 5, 3, 1, 22, 120, 195, 195, 120, 117, 190, 1, 17.0907
95, 2, bw, attraction, a-b-db, 5, 3, 1, 22, 120, 195, 195, 120, 117, 190, 2, 1.18525
95, 2, bw, attraction, a-b-da, 14, 1, 1, 23, 125, 56, 60, 135, 135, 60, 3, 17.4315
95, 2, bw, attraction, a-b-da, 14, 1, 1, 23, 125, 56, 60, 135, 135, 60, 1, 0.896031
95, 2, bw, attraction, a-b-da, 5, 3, 1, 24, 195, 120, 120, 195, 190, 117, 2, 8.30569
95, 2, bw, attraction, a-b-da, 5, 3, 1, 24, 195, 120, 120, 195, 190, 117, 1, 0.570421
95, 2, bw, attraction, a-b-da, 5, 1, 1, 25, 135, 60, 132, 58, 60, 135, 3, 6.76961
95, 2, bw, attraction, a-b-da, 5, 1, 1, 25, 135, 60, 132, 58, 60, 135, 2, 1.86395
95, 2, bw, attraction, a-b-da, 2, 3, 1, 26, 193, 119, 120, 195, 195, 120, 2, 36.1947
95, 2, bw, attraction, a-b-da, 2, 3, 1, 26, 193, 119, 120, 195, 195, 120, 1, 1.87137
95, 2, bw, attraction, a-b-db, 2, 2, 1, 27, 90, 165, 165, 90, 89, 163, 2, 7.58606
95, 2, bw, attraction, a-b-db, 2, 2, 1, 27, 90, 165, 165, 90, 89, 163, 3, 0.711772
95, 2, bw, attraction, a-b-db, 9, 3, 1, 28, 195, 120, 114, 186, 120, 195, 1, 21.9526
95, 2, bw, attraction, a-b-db, 9, 3, 1, 28, 195, 120, 114, 186, 120, 195, 2, 0.459121
95, 2, bw, attraction, a-b-db, 5, 1, 1, 29, 58, 132, 60, 135, 135, 60, 2, 6.96625
95, 2, bw, attraction, a-b-db, 5, 1, 1, 29, 58, 132, 60, 135, 135, 60, 3, 0.964724
95, 2, bw, attraction, a-b-da, 2, 1, 1, 30, 135, 60, 60, 135, 134, 59, 3, 42.5797
95, 2, bw, attraction, a-b-da, 2, 1, 1, 30, 135, 60, 60, 135, 134, 59, 2, 0.550983
95, 2, bw, attraction, a-b-da, 9, 2, 1, 31, 157, 86, 165, 90, 90, 165, 3, 18.0068
95, 2, bw, attraction, a-b-da, 9, 2, 1, 31, 157, 86, 165, 90, 90, 165, 1, 1.00046
95, 2, bw, attraction, a-b-da, 9, 1, 1, 32, 135, 60, 60, 135, 129, 57, 1, 6.15013
95, 2, bw, attraction, a-b-da, 9, 1, 1, 32, 135, 60, 60, 135, 129, 57, 3, 1.0695
95, 2, bw, attraction, a-b-da, 9, 3, 1, 33, 120, 195, 195, 120, 186, 114, 1, 8.10451
95, 2, bw, attraction, a-b-da, 9, 3, 1, 33, 120, 195, 195, 120, 186, 114, 3, 0.7453
95, 2, bw, attraction, a-b-da, 14, 2, 1, 34, 165, 90, 90, 165, 153, 83, 1, 8.28908
95, 2, bw, attraction, a-b-da, 14, 2, 1, 34, 165, 90, 90, 165, 153, 83, 3, 0.697592
95, 2, bw, attraction, a-b-db, 14, 3, 1, 35, 120, 195, 195, 120, 111, 181, 1, 7.50739
95, 2, bw, attraction, a-b-db, 14, 3, 1, 35, 120, 195, 195, 120, 111, 181, 3, 0.691665
95, 2, bw, attraction, a-b-db, 5, 2, 1, 36, 88, 161, 165, 90, 90, 165, 3, 5.09342
95, 2, bw, attraction, a-b-db, 5, 2, 1, 36, 88, 161, 165, 90, 90, 165, 1, 0.803569
95, 2, bw, catch, NA, 999, 999, 1, 37, 152, 163, 130, 65, 143, 112, 1, 1.96477
95, 2, bw, catch, NA, 999, 999, 1, 37, 152, 163, 130, 65, 143, 112, 2, 2.50882
95, 2, bw, catch, NA, 999, 999, 2, 1, 154, 161, 141, 114, 91, 104, 1, 1.68544
95, 2, bw, catch, NA, 999, 999, 2, 1, 154, 161, 141, 114, 91, 104, 3, 2.6328
95, 2, bw, filler, NA, 999, 999, 2, 2, 58, 193, 115, 106, 87, 101, 2, 24.2286
95, 2, bw, filler, NA, 999, 999, 2, 2, 58, 193, 115, 106, 87, 101, 3, 0.490985
95, 2, bw, filler, NA, 999, 999, 2, 3, 159, 120, 128, 195, 77, 69, 2, 1.39684
95, 2, bw, filler, NA, 999, 999, 2, 3, 159, 120, 128, 195, 77, 69, 3, 0.595645
95, 2, bw, filler, NA, 999, 999, 2, 4, 171, 78, 112, 176, 173, 58, 2, 3.66534
95, 2, bw, filler, NA, 999, 999, 2, 4, 171, 78, 112, 176, 173, 58, 3, 0.868868
95, 2, bw, attraction, a-b-da, 5, 1, 2, 5, 132, 58, 60, 135, 135, 60, 2, 2.43181
95, 2, bw, attraction, a-b-da, 5, 1, 2, 5, 132, 58, 60, 135, 135, 60, 1, 0.653182
95, 2, bw, filler, NA, 999, 999, 2, 6, 102, 154, 78, 81, 149, 121, 3, 5.96903
95, 2, bw, filler, NA, 999, 999, 2, 6, 102, 154, 78, 81, 149, 121, 2, 0.639582
95, 2, bw, attraction, a-b-da, 14, 2, 2, 7, 90, 165, 165, 90, 153, 83, 2, 2.5633
95, 2, bw, attraction, a-b-da, 14, 2, 2, 7, 90, 165, 165, 90, 153, 83, 3, 0.451128
95, 2, bw, attraction, a-b-db, 5, 3, 2, 8, 195, 120, 117, 190, 120, 195, 3, 8.67897
95, 2, bw, attraction, a-b-db, 5, 3, 2, 8, 195, 120, 117, 190, 120, 195, 2, 0.472248
95, 2, bw, attraction, a-b-db, 5, 2, 2, 9, 90, 165, 88, 161, 165, 90, 1, 22.0995
95, 2, bw, attraction, a-b-db, 5, 2, 2, 9, 90, 165, 88, 161, 165, 90, 2, 6.15974
95, 2, bw, attraction, a-b-da, 5, 3, 2, 10, 195, 120, 120, 195, 190, 117, 2, 8.97312
95, 2, bw, attraction, a-b-da, 5, 3, 2, 10, 195, 120, 120, 195, 190, 117, 1, 1.85032
95, 2, bw, attraction, a-b-da, 9, 1, 2, 11, 135, 60, 129, 57, 60, 135, 3, 3.04568
95, 2, bw, attraction, a-b-da, 9, 1, 2, 11, 135, 60, 129, 57, 60, 135, 2, 0.530108
95, 2, bw, attraction, a-b-db, 2, 3, 2, 12, 195, 120, 120, 195, 119, 193, 2, 22.9784
95, 2, bw, attraction, a-b-db, 2, 3, 2, 12, 195, 120, 120, 195, 119, 193, 1, 0.571205
95, 2, bw, attraction, a-b-da, 2, 2, 2, 13, 163, 89, 90, 165, 165, 90, 2, 7.4104
95, 2, bw, attraction, a-b-da, 2, 2, 2, 13, 163, 89, 90, 165, 165, 90, 1, 0.518734
95, 2, bw, attraction, a-b-db, 9, 1, 2, 14, 57, 129, 135, 60, 60, 135, 3, 8.64798
95, 2, bw, attraction, a-b-db, 9, 1, 2, 14, 57, 129, 135, 60, 60, 135, 1, 0.642385
95, 2, bw, filler, NA, 999, 999, 2, 15, 152, 56, 195, 192, 172, 76, 2, 1.18218
95, 2, bw, filler, NA, 999, 999, 2, 15, 152, 56, 195, 192, 172, 76, 1, 0.765801
95, 2, bw, attraction, a-b-db, 5, 1, 2, 16, 60, 135, 58, 132, 135, 60, 3, 15.5008
95, 2, bw, attraction, a-b-db, 5, 1, 2, 16, 60, 135, 58, 132, 135, 60, 2, 0.50727
95, 2, bw, attraction, a-b-db, 9, 2, 2, 17, 86, 157, 90, 165, 165, 90, 3, 7.38032
95, 2, bw, attraction, a-b-db, 9, 2, 2, 17, 86, 157, 90, 165, 165, 90, 1, 0.481938
95, 2, bw, attraction, a-b-db, 2, 2, 2, 18, 90, 165, 165, 90, 89, 163, 2, 25.3007
95, 2, bw, attraction, a-b-db, 2, 2, 2, 18, 90, 165, 165, 90, 89, 163, 1, 0.495862
95, 2, bw, attraction, a-b-db, 14, 3, 2, 19, 111, 181, 120, 195, 195, 120, 2, 7.36975
95, 2, bw, attraction, a-b-db, 14, 3, 2, 19, 111, 181, 120, 195, 195, 120, 1, 0.464014
95, 2, bw, attraction, a-b-da, 9, 3, 2, 20, 195, 120, 186, 114, 120, 195, 3, 29.9231
95, 2, bw, attraction, a-b-da, 9, 3, 2, 20, 195, 120, 186, 114, 120, 195, 2, 0.652641
95, 2, bw, attraction, a-b-db, 9, 3, 2, 21, 120, 195, 195, 120, 114, 186, 1, 4.2242
95, 2, bw, attraction, a-b-db, 9, 3, 2, 21, 120, 195, 195, 120, 114, 186, 3, 0.708787
95, 2, bw, attraction, a-b-db, 14, 2, 2, 22, 83, 153, 165, 90, 90, 165, 3, 14.8859
95, 2, bw, attraction, a-b-db, 14, 2, 2, 22, 83, 153, 165, 90, 90, 165, 1, 0.357184
95, 2, bw, filler, NA, 999, 999, 2, 23, 126, 112, 64, 175, 100, 182, 3, 20.9083
95, 2, bw, filler, NA, 999, 999, 2, 23, 126, 112, 64, 175, 100, 182, 2, 11.8651
95, 2, bw, attraction, a-b-db, 14, 1, 2, 24, 60, 135, 135, 60, 56, 125, 2, 5.64075
95, 2, bw, attraction, a-b-db, 14, 1, 2, 24, 60, 135, 135, 60, 56, 125, 3, 0.476321
95, 2, bw, attraction, a-b-da, 2, 1, 2, 25, 135, 60, 134, 59, 60, 135, 3, 22.9508
95, 2, bw, attraction, a-b-da, 2, 1, 2, 25, 135, 60, 134, 59, 60, 135, 2, 0.888839
95, 2, bw, attraction, a-b-da, 5, 2, 2, 26, 90, 165, 161, 88, 165, 90, 1, 4.9631
95, 2, bw, attraction, a-b-da, 5, 2, 2, 26, 90, 165, 161, 88, 165, 90, 2, 0.394185
95, 2, bw, filler, NA, 999, 999, 2, 27, 149, 125, 73, 142, 149, 184, 3, 2.08805
95, 2, bw, filler, NA, 999, 999, 2, 27, 149, 125, 73, 142, 149, 184, 2, 0.866663
95, 2, bw, filler, NA, 999, 999, 2, 28, 78, 137, 131, 148, 112, 83, 2, 3.64577
95, 2, bw, filler, NA, 999, 999, 2, 28, 78, 137, 131, 148, 112, 83, 3, 1.89809
95, 2, bw, attraction, a-b-da, 14, 3, 2, 29, 181, 111, 120, 195, 195, 120, 2, 12.5472
95, 2, bw, attraction, a-b-da, 14, 3, 2, 29, 181, 111, 120, 195, 195, 120, 1, 0.480576
95, 2, bw, catch, NA, 999, 999, 2, 30, 130, 185, 88, 107, 120, 135, 1, 1.99507
95, 2, bw, catch, NA, 999, 999, 2, 30, 130, 185, 88, 107, 120, 135, 2, 0.761756
95, 2, bw, catch, NA, 999, 999, 2, 31, 68, 127, 142, 113, 134, 181, 3, 2.04886
95, 2, bw, catch, NA, 999, 999, 2, 31, 68, 127, 142, 113, 134, 181, 1, 0.749487
95, 2, bw, attraction, a-b-da, 9, 2, 2, 32, 157, 86, 90, 165, 165, 90, 2, 5.80527
95, 2, bw, attraction, a-b-da, 9, 2, 2, 32, 157, 86, 90, 165, 165, 90, 1, 0.674597
95, 2, bw, filler, NA, 999, 999, 2, 33, 108, 81, 158, 76, 152, 156, 3, 1.30114
95, 2, bw, filler, NA, 999, 999, 2, 33, 108, 81, 158, 76, 152, 156, 1, 0.568019
95, 2, bw, filler, NA, 999, 999, 2, 34, 83, 92, 86, 82, 81, 119, 3, 3.02307
95, 2, bw, filler, NA, 999, 999, 2, 34, 83, 92, 86, 82, 81, 119, 2, 2.38809
95, 2, bw, attraction, a-b-da, 2, 3, 2, 35, 193, 119, 195, 120, 120, 195, 3, 37.106
95, 2, bw, attraction, a-b-da, 2, 3, 2, 35, 193, 119, 195, 120, 120, 195, 1, 0.681693
95, 2, bw, attraction, a-b-da, 14, 1, 2, 36, 60, 135, 135, 60, 125, 56, 2, 3.52407
95, 2, bw, attraction, a-b-da, 14, 1, 2, 36, 60, 135, 135, 60, 125, 56, 1, 0.63691
95, 2, bw, attraction, a-b-db, 2, 1, 2, 37, 59, 134, 60, 135, 135, 60, 2, 5.30535
95, 2, bw, attraction, a-b-db, 2, 1, 2, 37, 59, 134, 60, 135, 135, 60, 3, 0.626315
95, 2, bw, attraction, a-b-db, 14, 1, 3, 1, 135, 60, 60, 135, 56, 125, 2, 2.24681
95, 2, bw, attraction, a-b-db, 14, 1, 3, 1, 135, 60, 60, 135, 56, 125, 3, 0.467315
95, 2, bw, filler, NA, 999, 999, 3, 2, 95, 150, 92, 86, 153, 85, 1, 3.23838
95, 2, bw, filler, NA, 999, 999, 3, 2, 95, 150, 92, 86, 153, 85, 2, 0.530771
95, 2, bw, filler, NA, 999, 999, 3, 3, 59, 100, 190, 155, 148, 84, 2, 1.34722
95, 2, bw, filler, NA, 999, 999, 3, 3, 59, 100, 190, 155, 148, 84, 1, 0.56409
95, 2, bw, catch, NA, 999, 999, 3, 4, 182, 133, 158, 97, 126, 69, 1, 1.37918
95, 2, bw, catch, NA, 999, 999, 3, 4, 182, 133, 158, 97, 126, 69, 3, 0.994696
95, 2, bw, filler, NA, 999, 999, 3, 5, 57, 164, 162, 158, 153, 61, 2, 10.7924
95, 2, bw, filler, NA, 999, 999, 3, 5, 57, 164, 162, 158, 153, 61, 3, 2.55627
95, 2, bw, filler, NA, 999, 999, 3, 6, 78, 150, 71, 72, 78, 61, 1, 1.89945
95, 2, bw, filler, NA, 999, 999, 3, 6, 78, 150, 71, 72, 78, 61, 3, 2.28631
95, 2, bw, attraction, a-b-db, 9, 3, 3, 7, 120, 195, 114, 186, 195, 120, 1, 4.88002
95, 2, bw, attraction, a-b-db, 9, 3, 3, 7, 120, 195, 114, 186, 195, 120, 3, 0.498528
95, 2, bw, attraction, a-b-db, 2, 2, 3, 8, 90, 165, 165, 90, 89, 163, 3, 12.0443
95, 2, bw, attraction, a-b-db, 2, 2, 3, 8, 90, 165, 165, 90, 89, 163, 2, 0.645767
95, 2, bw, attraction, a-b-da, 14, 2, 3, 9, 90, 165, 165, 90, 153, 83, 1, 2.49757
95, 2, bw, attraction, a-b-da, 14, 2, 3, 9, 90, 165, 165, 90, 153, 83, 3, 0.700101
95, 2, bw, filler, NA, 999, 999, 3, 10, 195, 101, 98, 86, 97, 78, 1, 1.69381
95, 2, bw, filler, NA, 999, 999, 3, 10, 195, 101, 98, 86, 97, 78, 3, 1.88079
95, 2, bw, attraction, a-b-db, 14, 3, 3, 11, 111, 181, 120, 195, 195, 120, 2, 5.76258
95, 2, bw, attraction, a-b-db, 14, 3, 3, 11, 111, 181, 120, 195, 195, 120, 1, 0.449467
95, 2, bw, attraction, a-b-da, 14, 1, 3, 12, 135, 60, 60, 135, 125, 56, 1, 22.7732
95, 2, bw, attraction, a-b-da, 14, 1, 3, 12, 135, 60, 60, 135, 125, 56, 3, 1.95082
95, 2, bw, filler, NA, 999, 999, 3, 13, 193, 112, 129, 154, 76, 136, 1, 3.49416
95, 2, bw, filler, NA, 999, 999, 3, 13, 193, 112, 129, 154, 76, 136, 3, 0.944379
95, 2, bw, catch, NA, 999, 999, 3, 14, 180, 135, 118, 77, 132, 123, 1, 1.61607
95, 2, bw, catch, NA, 999, 999, 3, 14, 180, 135, 118, 77, 132, 123, 2, 0.486083
95, 2, bw, attraction, a-b-da, 2, 3, 3, 15, 120, 195, 195, 120, 193, 119, 2, 15.8487
95, 2, bw, attraction, a-b-da, 2, 3, 3, 15, 120, 195, 195, 120, 193, 119, 1, 0.512941
95, 2, bw, attraction, a-b-db, 5, 2, 3, 16, 165, 90, 88, 161, 90, 165, 3, 4.37005
95, 2, bw, attraction, a-b-db, 5, 2, 3, 16, 165, 90, 88, 161, 90, 165, 2, 0.777301
95, 2, bw, attraction, a-b-db, 9, 2, 3, 17, 165, 90, 90, 165, 86, 157, 2, 29.4717
95, 2, bw, attraction, a-b-db, 9, 2, 3, 17, 165, 90, 90, 165, 86, 157, 1, 0.819141
95, 2, bw, attraction, a-b-da, 14, 3, 3, 18, 181, 111, 195, 120, 120, 195, 2, 3.9922
95, 2, bw, attraction, a-b-da, 14, 3, 3, 18, 181, 111, 195, 120, 120, 195, 1, 0.35008
95, 2, bw, attraction, a-b-db, 14, 2, 3, 19, 83, 153, 165, 90, 90, 165, 3, 8.43014
95, 2, bw, attraction, a-b-db, 14, 2, 3, 19, 83, 153, 165, 90, 90, 165, 1, 0.7214
95, 2, bw, filler, NA, 999, 999, 3, 20, 169, 123, 91, 62, 96, 177, 1, 3.25851
95, 2, bw, filler, NA, 999, 999, 3, 20, 169, 123, 91, 62, 96, 177, 2, 0.734222
95, 2, bw, filler, NA, 999, 999, 3, 21, 103, 137, 161, 151, 65, 141, 2, 1.68642
95, 2, bw, filler, NA, 999, 999, 3, 21, 103, 137, 161, 151, 65, 141, 3, 1.04994
95, 2, bw, attraction, a-b-db, 2, 3, 3, 22, 195, 120, 120, 195, 119, 193, 2, 7.63748
95, 2, bw, attraction, a-b-db, 2, 3, 3, 22, 195, 120, 120, 195, 119, 193, 1, 0.473153
95, 2, bw, attraction, a-b-da, 5, 3, 3, 23, 120, 195, 190, 117, 195, 120, 1, 20.4515
95, 2, bw, attraction, a-b-da, 5, 3, 3, 23, 120, 195, 190, 117, 195, 120, 2, 0.362439
95, 2, bw, catch, NA, 999, 999, 3, 24, 82, 113, 145, 170, 119, 136, 2, 1.2257
95, 2, bw, catch, NA, 999, 999, 3, 24, 82, 113, 145, 170, 119, 136, 1, 0.343407
95, 2, bw, attraction, a-b-da, 5, 1, 3, 25, 132, 58, 60, 135, 135, 60, 2, 6.03917
95, 2, bw, attraction, a-b-da, 5, 1, 3, 25, 132, 58, 60, 135, 135, 60, 1, 0.826401
95, 2, bw, filler, NA, 999, 999, 3, 26, 101, 74, 164, 79, 131, 76, 2, 1.40685
95, 2, bw, filler, NA, 999, 999, 3, 26, 101, 74, 164, 79, 131, 76, 1, 0.501104
95, 2, bw, attraction, a-b-db, 5, 3, 3, 27, 117, 190, 195, 120, 120, 195, 3, 4.22288
95, 2, bw, attraction, a-b-db, 5, 3, 3, 27, 117, 190, 195, 120, 120, 195, 2, 0.61946
95, 2, bw, attraction, a-b-da, 2, 2, 3, 28, 90, 165, 163, 89, 165, 90, 1, 16.6325
95, 2, bw, attraction, a-b-da, 2, 2, 3, 28, 90, 165, 163, 89, 165, 90, 2, 0.425277
95, 2, bw, filler, NA, 999, 999, 3, 29, 61, 83, 145, 132, 158, 184, 3, 1.0698
95, 2, bw, filler, NA, 999, 999, 3, 29, 61, 83, 145, 132, 158, 184, 1, 0.578026
95, 2, bw, attraction, a-b-da, 9, 2, 3, 30, 165, 90, 90, 165, 157, 86, 2, 5.07248
95, 2, bw, attraction, a-b-da, 9, 2, 3, 30, 165, 90, 90, 165, 157, 86, 3, 0.426891
95, 2, bw, attraction, a-b-db, 5, 1, 3, 31, 60, 135, 58, 132, 135, 60, 1, 7.75945
95, 2, bw, attraction, a-b-db, 5, 1, 3, 31, 60, 135, 58, 132, 135, 60, 3, 0.501568
95, 2, bw, attraction, a-b-da, 9, 3, 3, 32, 195, 120, 120, 195, 186, 114, 2, 2.3434
