sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
269, 2, bw, practice, NA, 999, 999, 0, 1, 121, 150, 99, 142, 138, 83, 1, 3.37883
269, 2, bw, practice, NA, 999, 999, 0, 1, 121, 150, 99, 142, 138, 83, 3, 3.30677
269, 2, bw, practice, NA, 999, 999, 0, 2, 110, 70, 75, 192, 70, 172, 2, 2.12964
269, 2, bw, practice, NA, 999, 999, 0, 2, 110, 70, 75, 192, 70, 172, 1, 1.16753
269, 2, bw, practice, NA, 999, 999, 0, 3, 113, 144, 174, 62, 183, 68, 1, 4.25295
269, 2, bw, practice, NA, 999, 999, 0, 3, 113, 144, 174, 62, 183, 68, 2, 0.776994
269, 2, bw, attraction, a-b-da, 9, 1, 1, 1, 129, 57, 135, 60, 60, 135, 3, 6.92959
269, 2, bw, attraction, a-b-da, 9, 1, 1, 1, 129, 57, 135, 60, 60, 135, 1, 0.95343
269, 2, bw, attraction, a-b-da, 9, 2, 1, 2, 90, 165, 165, 90, 157, 86, 1, 4.63307
269, 2, bw, attraction, a-b-da, 9, 2, 1, 2, 90, 165, 165, 90, 157, 86, 2, 2.06965
269, 2, bw, attraction, a-b-da, 2, 1, 1, 3, 134, 59, 135, 60, 60, 135, 3, 2.99233
269, 2, bw, attraction, a-b-da, 2, 1, 1, 3, 134, 59, 135, 60, 60, 135, 1, 0.582545
269, 2, bw, catch, NA, 999, 999, 1, 4, 121, 194, 63, 132, 90, 165, 1, 1.50901
269, 2, bw, catch, NA, 999, 999, 1, 4, 121, 194, 63, 132, 90, 165, 2, 0.807142
269, 2, bw, attraction, a-b-da, 5, 2, 1, 5, 161, 88, 90, 165, 165, 90, 2, 4.69214
269, 2, bw, attraction, a-b-da, 5, 2, 1, 5, 161, 88, 90, 165, 165, 90, 1, 0.590005
269, 2, bw, attraction, a-b-db, 5, 2, 1, 6, 90, 165, 165, 90, 88, 161, 1, 6.42788
269, 2, bw, attraction, a-b-db, 5, 2, 1, 6, 90, 165, 165, 90, 88, 161, 2, 0.535794
269, 2, bw, attraction, a-b-da, 5, 3, 1, 7, 120, 195, 195, 120, 190, 117, 1, 5.8243
269, 2, bw, attraction, a-b-da, 5, 3, 1, 7, 120, 195, 195, 120, 190, 117, 3, 0.404432
269, 2, bw, filler, NA, 999, 999, 1, 8, 142, 190, 178, 172, 190, 67, 2, 1.31414
269, 2, bw, filler, NA, 999, 999, 1, 8, 142, 190, 178, 172, 190, 67, 3, 0.452457
269, 2, bw, attraction, a-b-db, 2, 2, 1, 9, 89, 163, 165, 90, 90, 165, 2, 3.29623
269, 2, bw, attraction, a-b-db, 2, 2, 1, 9, 89, 163, 165, 90, 90, 165, 1, 0.394545
